,Activision_Blizzard_predictions,ATT_predictions,CBS_predictions,CenturyLink_predictions,Comcast_predictions,Discovery_Class_A_predictions,Discovery_Class_C_predictions,Dish_predictions,Electronic_Arts_predictions,Facebook_predictions,Interpublic_Group_predictions,Netflix_predictions,News_Corp_Class_A_predictions,News_Corp_Class_B_predictions,Omnicom_Group_predictions,Take_Two_Interactive_predictions,Twitter_predictions
0,[43.83753345],[39.04767452],[55.67050863],[27.83023714],[65.8282945],[26.94767086],[26.32409811],[55.99343916],[84.91906409],[130.32483074],[22.67659141],[102.87485064],[13.93864189],[14.27531014],[82.69416899],[43.94294232],[17.65805808]
1,[42.97795152],[39.091038],[55.35384135],[27.61064775],[64.98314088],[26.312826],[25.741915],[55.29464489],[83.45556825],[128.91807197],[22.51883672],[100.31383101],[13.63058902],[13.94697235],[81.92049095],[42.46139697],[17.95185794]
2,[43.41855763],[39.35369975],[55.19679474],[27.55596337],[65.32514513],[26.06042895],[25.42410367],[55.65278842],[82.57995022],[129.05254397],[22.62791213],[99.20617005],[13.4505068],[13.72819642],[82.73655462],[42.63697548],[18.52187006]
3,[43.19716585],[39.36186524],[55.22675957],[27.39131262],[65.11703925],[25.62022285],[24.9593416],[56.97676002],[81.84164084],[127.99786842],[22.50792513],[99.90448631],[13.56807388],[13.89560179],[82.02257749],[42.45925249],[17.83361533]
4,[43.7524342],[39.22344668],[55.06910482],[27.33845314],[65.24481023],[25.24195467],[24.61951719],[56.96456317],[82.79254335],[128.10779407],[22.66989682],[101.08339349],[13.36558106],[13.7592867],[82.92954123],[42.75327742],[17.06872265]
5,[43.52115106],[39.26135754],[55.38991287],[27.36885791],[65.067089],[25.22390694],[24.52430917],[56.73743015],[82.45547192],[127.78122987],[22.56305206],[99.36181187],[13.38465699],[13.81075519],[82.74338874],[44.77532133],[16.60320003]
6,[44.21870597],[39.36769644],[55.09084837],[27.89869653],[64.9036123],[25.1210834],[24.40950881],[56.58465546],[84.17352679],[128.78737243],[22.58208784],[118.29367536],[13.53103701],[13.92469905],[81.08823908],[44.97892539],[16.75668224]
7,[43.7870348],[39.39834944],[55.52887956],[28.1712765],[64.94314138],[25.52752959],[24.79373073],[57.45921059],[82.78313212],[130.26095814],[22.60016916],[120.7869293],[13.63579307],[13.98651596],[80.42480046],[44.27285162],[17.045119]
8,[44.3667272],[38.64801087],[56.44006633],[27.94553397],[64.37854487],[25.6281348],[24.91360331],[59.23311884],[82.52987041],[129.99761853],[22.53555047],[122.78209977],[13.51041961],[13.79476269],[79.60323665],[44.95210269],[16.93250433]
9,[44.53962486],[37.47407545],[57.65796687],[28.19429731],[64.12845898],[26.5387205],[25.82921706],[57.32623749],[82.97704614],[131.97691614],[22.38869308],[126.63957598],[13.40183615],[13.68712285],[79.83273825],[44.88142687],[17.94201965]
