,Advance_Auto_Parts_predictions,Amazon_predictions,AutoZone_predictions,Best_Buy_Co_predictions,BlockHR_predictions,BorgWarner_predictions,Carmax_predictions,Carnival_predictions,Chipotle_Mexican_Grill_predictions,D_R_Horton_predictions,Darden_Restaurants_predictions,Dollar_General_predictions,Dollar_Tree_predictions,eBay_predictions,Expedia_Group_predictions,Ford_Motor_predictions,Gap_predictions,Garmin_predictions,General_Motors_predictions,Genuine_Parts_predictions,Goodyear_Tire_Rubber_predictions,Hanesbrands_predictions,Harley_Davidson_predictions,Hasbro_predictions,Home_Depot_predictions,Kohls_predictions,L_Brands_predictions,Leggett_Platt_predictions,Lennar_predictions,LKQ_predictions,Lowes_Cos_predictions,Macys_predictions,Marriott_Int_predictions,Mattel_predictions,McDonalds_predictions,MGM_Resorts_International_predictions,Mohawk_Industries_predictions,Newell_Brands_predictions,Nike_predictions,Nordstrom_predictions,Norwegian_Cruise_Line_predictions,OReilly_Automotive_predictions,Polo_Ralph_Lauren_predictions,Pulte_Homes_predictions,PVH_Corp_predictions,Ross_Stores_predictions,Starbucks_predictions,Target_predictions,Tiffany_predictions,TJX_Companies_predictions,Tractor_Supply_Company_predictions,Ulta_Beauty_predictions,Under_Armour_Class_A_predictions,V_F_Corp_predictions,Whirlpool_predictions,Wynn_Resorts_predictions,Yum_Brands_predictions
0,[148.29322121],[842.0580439],[764.63301518],[38.88448907],[22.79078074],[36.09514968],[52.71185492],[47.59260137],[437.65120293],[29.6790674],[62.30563656],[69.49978216],[77.97234464],[31.93449581],[118.90158283],[12.09146722],[26.63463359],[48.67036552],[32.10467957],[98.56863086],[32.49711087],[25.56846276],[50.45591852],[79.90633811],[127.29758285],[46.14080656],[71.74706721],[45.93594831],[41.77698091],[33.57915626],[70.98392128],[37.53911868],[67.38068286],[30.28644908],[114.76296841],[26.8293186],[198.15896771],[51.39159629],[51.75338235],[54.26093173],[38.51832039],[277.94792204],[103.72030774],[19.93300481],[113.84647476],[64.18264662],[53.26523195],[68.81749206],[73.78389242],[74.79324018],[68.46345743],[240.04583591],[38.23393261],[55.08960022],[161.65938026],[98.36470139],[87.53985226]
1,[146.62711437],[832.03556411],[761.3813738],[38.30462184],[22.81621037],[35.51010493],[51.09373939],[46.91700001],[422.77689106],[29.20410102],[62.36076083],[68.88575387],[77.4558041],[31.42402192],[117.84401566],[11.9680371],[26.60616067],[48.05524641],[31.86101101],[97.23082489],[32.1078385],[25.83384606],[50.0587636],[78.7625702],[126.1110403],[45.91612684],[70.61629137],[45.6560112],[41.56959201],[33.134803],[70.18925768],[37.24546041],[66.65256343],[29.34865632],[113.6688129],[26.46684208],[191.95748738],[50.33242097],[51.78294868],[54.12733065],[37.91849749],[274.85855019],[102.2677381],[19.68241881],[112.74000585],[63.74095812],[52.89193002],[68.38664634],[73.41683546],[74.27021618],[68.24427587],[237.04207034],[38.03905653],[54.26923407],[161.20513813],[97.62296998],[88.32972193]
2,[148.16945983],[834.60370721],[762.15736584],[39.81153337],[23.005264],[35.57426599],[51.62645887],[46.78654675],[418.633155],[29.50582642],[62.76087979],[69.06701948],[77.34705968],[31.4904023],[118.99660423],[11.95229591],[26.71115267],[48.25788728],[31.65347195],[98.11525193],[31.89527175],[25.15227733],[50.21348516],[77.71551398],[126.75826365],[45.95580422],[72.94613361],[45.79087877],[41.77672672],[33.33227839],[71.32463074],[37.50610819],[66.95378123],[29.623182],[114.74961096],[26.37157969],[195.85225444],[51.68909126],[52.40874355],[54.56827157],[38.16686458],[276.41698321],[101.49820643],[19.77697224],[111.36807629],[64.88381602],[53.11038525],[67.92557029],[73.32903314],[75.30312753],[68.21774072],[238.86471678],[38.48727924],[54.69225624],[160.84363427],[96.30020641],[88.93815888]
3,[146.73477394],[830.34546945],[768.40315333],[39.79115683],[22.92314375],[34.51911014],[51.52657856],[46.88735465],[409.02651224],[28.85053261],[62.28190125],[69.27423442],[78.31206402],[31.48017823],[118.65879454],[11.90503198],[26.4870341],[47.98209144],[31.48885675],[97.67025918],[31.6638651],[24.63825292],[50.33556753],[76.88918565],[126.42486605],[45.15321051],[72.88289075],[45.74475964],[40.98838672],[32.95076904],[71.20758179],[36.75627871],[67.27075145],[29.93910131],[115.40385257],[26.02900031],[194.60752779],[52.04581374],[51.95962623],[53.72968038],[37.74323724],[279.13457665],[99.38454751],[19.40069277],[111.07752655],[64.77845834],[52.9273159],[67.96460626],[72.76598395],[74.45362391],[67.3869695],[266.39938024],[38.06575818],[54.66209127],[160.75348161],[94.7280268],[89.27202922]
4,[146.75300581],[823.83004154],[763.94078139],[39.26608916],[23.07520242],[34.56871043],[51.22919728],[46.21943031],[404.59733196],[28.93859916],[62.28169869],[68.96983412],[77.04458335],[31.83972109],[121.01681277],[11.90861784],[26.40975395],[48.3395002],[31.88973304],[98.07716158],[31.26012502],[24.29049161],[49.83279702],[76.21978444],[126.48861516],[43.73092485],[73.08585184],[45.74171394],[41.38227673],[32.837055],[71.3633298],[35.5522645],[67.53984811],[30.11812123],[114.08555959],[25.73327363],[196.89020145],[52.31714544],[51.58174339],[53.59926867],[37.36387472],[279.40399719],[97.41619575],[19.45465634],[110.240554],[64.64968656],[53.04478667],[68.10955701],[72.65023341],[74.30848553],[67.19311598],[264.00029418],[38.43000601],[54.57930231],[160.74506413],[93.33770044],[89.13943045]
5,[143.38756983],[813.25854087],[755.64460909],[39.50682361],[23.09343755],[34.14991794],[51.18689614],[46.19731203],[394.53577961],[28.77261398],[62.56772078],[68.5781537],[76.4750291],[31.76573777],[121.70896191],[11.8749344],[26.11761688],[47.88822543],[31.54809045],[97.88070819],[31.08930961],[24.10488987],[49.70728371],[81.72499075],[125.26954849],[43.21194983],[72.37568313],[45.6716359],[41.61783291],[33.03146481],[70.12796074],[35.03890127],[66.93248621],[30.17805935],[112.50549251],[26.0261127],[195.36110816],[52.45776486],[51.01008874],[53.34025814],[37.47664293],[278.22096415],[96.98367463],[19.39332274],[110.54517483],[64.36100062],[52.71965771],[67.21171877],[71.86026916],[73.40024645],[65.57721897],[256.57420279],[37.50472554],[54.15951622],[162.95655473],[93.05203733],[86.80241329]
6,[143.23249242],[818.86281716],[754.4650368],[39.40291254],[23.09635941],[33.57408465],[51.02744435],[46.52467064],[394.35743418],[29.3975976],[62.9949015],[68.7147153],[76.33777998],[31.61198863],[122.83558747],[11.88674693],[25.87864997],[48.64301692],[31.36532682],[96.38469972],[31.1265941],[24.37496854],[53.9256932],[81.02919824],[125.83934579],[43.01795281],[72.06195599],[45.79098983],[41.87858001],[32.92322655],[70.17839541],[35.11752068],[67.80884764],[30.69637386],[111.33138292],[25.84617281],[195.77493829],[52.59186118],[51.20920338],[53.25321315],[38.28489856],[278.27233995],[97.49944902],[19.81791888],[110.23820718],[63.54339586],[52.58530842],[67.43309272],[72.0547678],[73.35304124],[65.20879315],[255.3958006],[38.28115807],[54.43803268],[162.2744387],[92.95586304],[86.3372382]
7,[142.38494641],[819.04391519],[751.33595841],[39.54511174],[23.19263229],[34.8387259],[51.75735908],[46.63247258],[405.44514027],[29.66117077],[63.31242722],[68.64911622],[76.73917301],[32.4744727],[124.50425715],[12.0167775],[26.46898226],[48.58971521],[31.85713447],[92.22453116],[32.28285296],[24.78740184],[54.38881731],[80.83772375],[126.0086152],[43.77028864],[72.52608927],[46.01241577],[42.00742506],[32.95790705],[69.69455858],[35.52805041],[67.9802754],[30.57448592],[111.33276138],[26.16171661],[195.38724899],[52.54726247],[51.75988044],[53.41496394],[38.04386989],[278.26115776],[99.05034704],[19.86045802],[111.34659216],[63.36636633],[53.09691267],[67.52000552],[73.23326258],[73.54012151],[67.31843914],[257.46458784],[38.74576511],[54.63320411],[166.32967305],[95.4148452],[87.38442761]
8,[141.27365431],[810.8295653],[747.2032927],[39.48400574],[23.27592539],[34.97729212],[50.84770949],[47.23505351],[405.17032997],[29.39580538],[62.93239686],[67.9920599],[75.90209468],[29.00927263],[124.51295437],[11.96632676],[26.51387057],[48.58796246],[31.75783162],[89.46163674],[31.84222399],[24.70410437],[55.37753235],[82.8276924],[126.25254137],[43.98229611],[72.26188039],[45.41682548],[41.37718366],[32.97955282],[69.87358151],[35.83762642],[67.48333859],[32.5472963],[110.62297273],[26.10085034],[196.70820389],[52.4983117],[51.81517725],[53.10855521],[38.77506097],[274.19564534],[97.60702399],[19.20883543],[110.49291418],[63.40771318],[53.54838058],[67.71303661],[72.73241925],[73.39962324],[65.18389803],[255.13663581],[38.3143239],[54.30204002],[166.08937014],[95.87362652],[86.29859533]
9,[142.29711244],[819.21831289],[748.03457705],[39.4560664],[23.38488959],[34.78509562],[50.08491749],[46.69630686],[412.17809999],[29.13816637],[63.1013888],[68.00908001],[75.74562456],[29.20716334],[127.55035277],[12.01870924],[26.42084523],[48.60130557],[32.04338688],[90.36105654],[31.58464046],[24.62386674],[55.8293959],[82.41982454],[126.71629034],[44.99017217],[72.46820174],[44.96764811],[41.23437549],[32.86573034],[70.75986231],[36.5060178],[67.0968924],[32.70159699],[114.00476115],[26.11426503],[196.85394021],[52.52804771],[51.71708639],[54.03667407],[37.87538483],[275.89259469],[96.60243833],[19.07721241],[109.3495745],[63.40139357],[53.58240734],[68.19505849],[73.37479338],[73.48563844],[64.9028701],[252.70378789],[37.87178032],[54.65068543],[167.06022522],[95.07469887],[87.0771363]
