,Altria_Group_predictions,Archer_Daniels_Midland_Co_predictions,Brown_Forman_predictions,Campbell_Soup_predictions,Church_Dwight_predictions,The_Clorox_Company_predictions,Coca_Cola_Company_predictions,Colgate_Palmolive_predictions,Constellation_Brands_predictions,Costco_Wholesale_predictions,Coty_predictions,General_Mills_predictions,The_Hershey_Company_predictions,Hormel_Foods_predictions,JM_Smucker_predictions,Kellogg_predictions,Kroger_predictions,McCormick_predictions,Molson_Coors_Brewing_Company_predictions,Mondelez_International_predictions,Monster_Beverage_predictions,PepsiCo_predictions,Philip_Morris_International_predictions,Procter_Gamble_predictions,Sysco_predictions,Tyson_Foods_predictions,Walmart_predictions,Walgreens_Boots_Alliance_predictions
0,[61.66954089],[43.23454624],[46.71955273],[54.05668049],[46.97911264],[122.04064258],[41.72304724],[72.61029458],[170.89674791],[150.36053859],[22.95043452],[62.44264164],[95.53524935],[37.68043983],[134.2989292],[76.4740204],[29.04464422],[95.37569486],[109.92452819],[42.98269934],[146.27689754],[106.32871091],[96.22980011],[89.05033726],[48.30175858],[70.20341419],[68.04015522],[79.73766821]
1,[61.98782996],[42.34884447],[46.33925663],[53.89693637],[46.95771833],[120.98089056],[41.53823089],[72.26824755],[169.88328271],[150.98945534],[23.06389783],[61.92535102],[94.66083096],[37.76531152],[132.25644727],[76.10090001],[30.08639858],[94.24385133],[109.92042827],[42.37376259],[143.43891933],[105.59381675],[95.52208717],[88.56118747],[48.01834641],[71.67791001],[67.50093447],[78.21628857]
2,[62.59585709],[42.38668513],[45.86804873],[54.35992602],[47.7973438],[121.98121995],[41.78758558],[72.48465992],[170.17096027],[150.38663571],[23.35100617],[62.16408286],[94.95719817],[38.09792693],[132.57347374],[76.42545029],[31.13481025],[94.35952218],[110.27181563],[42.43378731],[145.0528456],[106.14669545],[96.05999188],[88.58965171],[48.57317497],[71.62355771],[67.53373465],[78.49919781]
3,[62.71352106],[42.16978429],[45.84111806],[54.83660228],[47.77338651],[122.57095321],[41.74480744],[72.22737893],[169.11265087],[150.23080311],[23.39238933],[62.20327207],[95.64401664],[38.040169],[133.89794425],[75.90180549],[31.08826075],[94.62583238],[110.55927111],[41.84773177],[146.22148972],[105.94528708],[96.22118924],[88.39480623],[48.86643729],[71.69249351],[68.22239312],[78.31366086]
4,[62.47633726],[42.16278045],[45.33083948],[54.44131182],[47.91263769],[121.870931],[41.67637656],[72.31677229],[169.61872434],[150.25817795],[23.29673833],[61.85193233],[96.33774051],[37.91694783],[133.84038986],[75.53547735],[31.23224445],[94.54547008],[111.22524151],[42.12006912],[145.3644332],[106.88066369],[95.91128255],[88.40980859],[48.41418309],[71.75331774],[68.44870446],[78.37965172]
5,[62.50697199],[41.80223445],[44.94550102],[53.72796015],[48.24637075],[122.1000007],[41.60399321],[72.07578263],[167.55279318],[148.84115338],[23.40347226],[61.74235911],[96.64971189],[38.06565051],[132.8857097],[75.0883261],[30.77995552],[94.33115059],[110.44588946],[41.9298574],[144.45580947],[106.83067806],[95.44549848],[87.84585904],[48.24787258],[71.62379731],[68.21883861],[78.02127607]
6,[62.73387949],[41.96381795],[45.33387325],[54.39821842],[48.19816244],[121.85688139],[41.97454019],[72.0001189],[167.36150726],[149.23834159],[23.46874901],[61.93646698],[96.30085022],[38.27469452],[132.20862068],[75.38898046],[30.61230284],[94.85766422],[110.14378164],[42.16864183],[146.56746712],[106.97605854],[96.57974199],[87.49812616],[48.22207024],[71.63295691],[68.79630551],[78.1402549]
7,[61.97822087],[42.20972594],[45.10257817],[53.61610861],[47.73248766],[120.98044748],[42.03242316],[71.7212396],[167.55502765],[149.63637939],[23.57218297],[61.6239487],[95.68992666],[38.01562275],[132.99204315],[75.02050914],[31.00315767],[94.28952557],[109.16107037],[42.08275809],[147.64904456],[106.25166398],[96.04028992],[85.62449305],[48.00309784],[70.61377237],[68.83091931],[77.24641351]
8,[61.8669622],[42.1984902],[44.60497937],[53.18843724],[47.46495695],[119.87768902],[41.93772917],[71.05929583],[167.32244824],[150.09413637],[23.37667863],[60.99273262],[95.20719659],[37.73947446],[129.92311754],[74.30860719],[30.90305865],[93.69921171],[108.68528845],[42.12438083],[146.80657848],[105.93493105],[95.58688205],[85.02770889],[47.66260717],[69.87984074],[68.71985752],[81.02812343]
9,[63.65362648],[42.31981773],[44.94451812],[53.19740885],[47.47507094],[120.18185796],[42.14446519],[70.9654509],[167.56829829],[148.85581937],[23.02697774],[60.72313801],[95.39431832],[37.74882442],[130.06024291],[74.36093029],[30.75851606],[93.50789637],[108.81235018],[42.19756808],[147.21256372],[105.68479043],[96.22124738],[84.40737744],[47.50173819],[69.64899159],[68.32886994],[81.2874279]
10,[64.89352471],[42.51407647],[45.34553602],[53.19406938],[47.30120385],[118.90034022],[42.55746256],[71.05939337],[169.55667425],[152.16765879],[22.78226444],[60.93936559],[95.28908388],[38.00342879],[129.94796905],[74.36504415],[31.16866918],[93.92157215],[108.5023865],[42.60592059],[149.95075523],[107.36695894],[97.01029143],[84.22416493],[47.75241377],[69.92209086],[69.12213524],[82.84366797]
11,[64.6578835],[42.55378521],[45.42362761],[53.34032418],[48.05724487],[119.66945482],[42.53046825],[71.33473024],[168.48713932],[150.97994168],[23.12969299],[61.12749333],[95.75437619],[37.98183573],[130.5033302],[74.23994461],[30.88343514],[95.91327981],[108.27662436],[42.77411955],[150.00231882],[107.25786424],[96.59931591],[86.80828303],[47.52526439],[69.1113616],[69.32596844],[82.22739596]
12,[64.63376721],[43.29388872],[45.40661251],[53.61926766],[47.8130347],[119.23135455],[42.45934317],[71.21321242],[166.70371133],[150.81038915],[22.91767079],[60.83464961],[96.10742464],[38.00402611],[130.31525379],[74.09358127],[30.89288993],[95.55919112],[106.24915528],[44.23473924],[146.40267714],[107.08487155],[95.9955122],[87.40559623],[47.32015599],[68.7061085],[69.57403768],[82.33943866]
13,[64.6702141],[43.11526752],[45.4167687],[53.08656173],[47.72260409],[118.1691171],[42.13354974],[70.64129076],[165.70867125],[150.84485359],[22.71884671],[60.70454399],[95.50932223],[37.91435289],[129.35479255],[74.18036576],[31.00797533],[94.6259825],[104.99361551],[43.95584999],[143.42365259],[106.57167321],[95.78932173],[86.48859183],[47.42750853],[68.96408008],[69.78038243],[82.2273694]
14,[65.95393118],[43.63112752],[45.9910667],[54.13188675],[48.19238598],[119.00425584],[42.24681059],[71.12612024],[166.22734957],[150.02327461],[22.88278084],[61.66813113],[102.01817449],[38.22669936],[131.86056058],[74.61268125],[31.23633834],[95.28227518],[104.66802869],[45.17379416],[144.00902729],[107.12255303],[96.37048724],[86.59669894],[47.97400611],[69.79624949],[69.93135802],[81.22953138]
15,[66.09251855],[43.56957226],[46.13144168],[54.3565546],[48.25057964],[120.01422212],[42.38448085],[71.3661739],[167.37283702],[147.95146883],[23.02186101],[62.02106268],[102.2471579],[38.47956568],[131.41293428],[75.09724241],[30.96881574],[95.9576839],[104.09398236],[44.90591995],[144.74460127],[107.24649271],[96.47562028],[86.97238885],[48.17210777],[70.81868276],[69.98733715],[82.81930793]
