,Anadarko_Petroleum_predictions,Apache_Corporation_predictions,Campbell_Soup_predictions,Cabot_Oil_Gas_predictions,Chevron_predictions,Cimarex_Energy_predictions,Concho_Resources_predictions,ConocoPhillips_predictions,Devon_Energy_predictions,Diamondback_Energy_predictions,EOG_Resources_predictions,Exxon_Mobil_predictions,Halliburton_predictions,Helmerich_Payne_predictions,Hess_Corporation_predictions,Kinder_Morgan_predictions,Marathon_Oil_predictions,Marathon_Petroleum_predictions,National_Oilwell_Varco_predictions,Newfield_Exploration_predictions,Noble_Energy_predictions,Occidental_Petroleum_predictions,ONEOK_predictions,Phillips_SixtySix_predictions,Schlumberger_predictions,TechnipFMC_predictions,Valero_Energy_predictions,Williams_Cos_predictions
0,[64.40271743],[64.17163069],[54.05668049],[24.17607079],[103.91456243],[140.97167273],[141.79989933],[44.3648061],[44.29381164],[104.66917291],[97.24001486],[88.29263599],[47.17763352],[69.61192149],[54.00969291],[21.36902222],[15.65431168],[42.35192924],[37.47355479],[43.69743265],[36.00312343],[74.6449954],[50.39440715],[81.24266731],[82.17536482],[32.04605578],[54.69718141],[30.58295215]
1,[63.62213747],[62.83471162],[53.89693637],[23.62154973],[103.05229895],[139.41305546],[140.13209097],[43.22564536],[44.20571524],[104.72067152],[95.85456787],[87.73261585],[46.58911591],[69.19086479],[52.46319172],[20.73405826],[15.04748562],[41.93344349],[36.83376369],[43.11632856],[35.71011006],[73.7027728],[49.86473925],[80.59102307],[81.64720322],[31.31035429],[54.22332359],[30.27671608]
2,[63.94806554],[62.60890681],[54.35992602],[23.84578599],[102.00754679],[139.78192872],[138.87070002],[43.4017067],[44.558488],[104.69466468],[96.24892407],[87.08075326],[46.95445043],[69.03395288],[51.79316376],[20.69721259],[14.89063008],[41.58355756],[36.0640031],[43.30509183],[35.53575788],[73.86038875],[50.16671753],[79.76315414],[81.36481978],[31.3178612],[53.85400804],[29.83507244]
3,[64.06357028],[62.06134742],[54.83660228],[22.78523495],[100.63694419],[139.17102321],[138.33225475],[42.09357011],[43.89938045],[103.53940207],[95.40505445],[86.42854129],[46.95595133],[69.38458058],[51.51395172],[20.50885877],[14.73856962],[41.45076626],[36.21368384],[43.15282947],[35.36417602],[73.91414764],[49.8098459],[79.04148068],[81.47078283],[31.73165261],[53.78914069],[29.15544542]
4,[63.2752981],[61.70583212],[54.44131182],[22.58033069],[101.06527353],[137.78110979],[136.86754194],[41.54837834],[42.99746743],[100.94865368],[94.38760512],[86.5983307],[47.01997345],[68.65204117],[51.62298969],[20.32529704],[14.55998568],[41.59443265],[36.06449001],[42.5951805],[35.14505355],[73.19425407],[50.04595506],[79.32738293],[81.35746367],[31.77003565],[53.80826703],[29.11005738]
5,[62.50062505],[61.82221153],[53.72796015],[21.91294438],[101.46382593],[137.52800563],[137.04679747],[41.11777686],[41.69930274],[100.62570566],[93.754159],[86.61416298],[46.25561838],[66.75084438],[50.80277242],[20.15482267],[14.13631839],[41.78780623],[36.11195207],[42.87607469],[35.23905033],[72.46892075],[49.47208776],[79.23710545],[80.96811705],[31.42711759],[54.1398068],[29.08141743]
6,[62.95769637],[62.82924532],[54.39821842],[22.09420848],[101.85901045],[137.05023385],[136.59928296],[40.56593452],[41.77666085],[99.86253076],[93.05598894],[86.80352533],[47.08818216],[67.1580988],[50.9264179],[20.14911303],[14.15609439],[42.67067738],[36.59784587],[42.55077266],[35.04421566],[72.55197693],[49.95286759],[79.66729416],[81.367182],[31.08019536],[55.39129268],[29.23133225]
7,[63.91882298],[64.34759273],[53.61610861],[21.58833481],[102.24376701],[140.06629417],[139.48633082],[41.80125468],[42.94534471],[103.18857651],[95.00354339],[87.13973592],[49.15874183],[68.31625358],[52.45479124],[20.73122451],[14.64372942],[42.62579424],[36.87627344],[44.2377189],[35.91479862],[74.45724617],[51.08062353],[79.71259164],[83.48289746],[31.42730208],[54.63376394],[30.10530186]
8,[63.75594473],[63.42122361],[53.18843724],[22.03967449],[101.80997241],[138.81926878],[139.4244248],[41.4707727],[43.02833938],[102.39948669],[94.73030632],[87.17050238],[48.76384563],[67.04418019],[52.64765875],[21.24163971],[14.71183474],[42.97702141],[37.10840849],[44.06281042],[35.85843073],[74.12455739],[50.96215745],[79.7499364],[83.06914016],[32.81406106],[54.80116015],[30.18455637]
9,[63.56537667],[62.06905028],[53.19740885],[21.37007966],[101.19452231],[137.30376172],[138.09594798],[41.4444011],[42.70349343],[102.35064326],[93.77237722],[86.57320564],[48.29080375],[66.43392039],[52.72213604],[21.12722596],[14.61145635],[44.02265052],[36.87743056],[43.26297384],[35.6776898],[74.45896549],[50.64314355],[80.34944228],[80.32195133],[33.31176947],[55.63580351],[30.18854643]
