,Affiliated_Managers_Group_predictions,AFLAC_predictions,Allstate_Corp_predictions,American_Express_predictions,American_International_Group_predictions,Ameriprise_Financial_predictions,Aon_predictions,Arthur_J_Gallagher_predictions,Assurant_predictions,Bank_of_America_predictions,The_Bank_of_NewYork_predictions,BBT_predictions,Berkshire_Hathaway_predictions,BlackRock_predictions,Capital_One_Financial_predictions,Cboe_Global_Markets_predictions,Charles_Schwab_Corporation_predictions,Chubb_predictions,Cincinnati_Financial_predictions,Citigroup_predictions,CME_Group_predictions,Comerica_predictions,Discover_Financial_Services_predictions,ETrade_predictions,Everest_Re_Group_predictions,Fifth_Third_Bancorp_predictions,First_Republic_Bank_predictions,Franklin_Resources_predictions,Goldman_Sachs_Group_predictions,Hartford_Financial_predictions,Huntington_Bancshares_predictions,Intercontinental_Exchange_predictions,Invesco_predictions,JPMorgan_Chase_predictions,KeyCorp_predictions,Lincoln_National_predictions,Loews_predictions,MT_Bank_predictions,Marsh_McLennan_predictions,Moodys_predictions,Morgan_Stanley_predictions,MSCI_predictions,Nasdaq_predictions,Northern_Trust_predictions,Peoples_United_Financial_predictions,PNC_Financial_Services_predictions,Principal_Financial_Group_predictions,Progressive_predictions,Prudential_Financial_predictions,Regions_Financial_predictions,State_Street_predictions,SunTrust_Banks_predictions,SVB_Financial_predictions,T_Rowe_Price_Group_predictions,Torchmark_predictions,US_Bancorp_predictions,Unum_Group_predictions,Wells_Fargo_predictions,Zions_Bancorp_predictions
0,[150.89353996],[71.66660822],[68.49052077],[61.86636078],[60.37060477],[101.54437206],[111.94930239],[50.50678109],[90.76137089],[16.29563952],[40.68049182],[39.16483925],[145.05811205],[358.90699585],[73.25342332],[66.86100929],[32.45034973],[124.70519488],[75.47612301],[49.48717764],[104.14062786],[49.47152269],[56.44964158],[29.41151012],[190.79699661],[20.67495485],[78.6338933],[36.27530042],[170.67852544],[43.63000696],[10.15076166],[268.34937716],[31.21671642],[68.56063557],[12.76689004],[49.23942108],[41.49077901],[117.75481997],[66.45045738],[109.3237663],[32.54299071],[83.04009233],[66.50899517],[71.91725937],[15.89003143],[91.59198947],[52.81418748],[31.36666729],[84.79081186],[10.36245193],[71.74807054],[46.09517877],[119.9535215],[66.72054351],[64.76635014],[43.73745846],[36.50217548],[45.54562279],[31.77764363]
1,[146.11591103],[70.96768805],[68.20421159],[60.78784734],[59.87331847],[99.54633277],[109.74426882],[49.7817152],[90.63773942],[16.06905688],[39.93703452],[38.7110659],[144.09015605],[352.02103815],[72.11312551],[67.14892244],[31.91229674],[123.93901096],[74.65957712],[48.89489006],[103.98157526],[48.56061792],[55.50490346],[28.9423031],[190.71442766],[20.3738084],[77.52576923],[34.72610839],[168.88825104],[43.23596238],[10.02312631],[265.72134474],[30.5106626],[68.24964649],[12.70390085],[48.64384489],[41.15679656],[116.02508347],[65.58472909],[107.47250109],[32.14187956],[80.037747],[66.00087744],[71.00158216],[15.77275207],[90.46557481],[52.42359027],[31.15438369],[84.26532047],[10.25132193],[70.29749648],[45.5328094],[118.26547261],[66.00042119],[64.19824549],[43.24504883],[36.58997107],[45.39358124],[31.26635986]
2,[145.88688428],[71.6915014],[68.95898839],[60.81780932],[60.45129789],[100.2490688],[110.92803695],[50.46689374],[91.1736367],[16.04543517],[40.21510844],[38.74858842],[144.85308907],[351.38537669],[72.14079866],[66.82735178],[31.74512832],[124.81025313],[75.38807557],[48.70756987],[104.27841224],[48.69939522],[55.55938148],[28.75307259],[191.92708865],[20.39361176],[77.23317055],[34.76640406],[169.12039582],[43.48151924],[9.98274979],[267.19461684],[30.84723276],[68.1567237],[12.71336205],[48.91813057],[41.39176106],[117.06000077],[66.20480171],[108.52252256],[31.93115138],[82.06156255],[66.53589222],[71.2095825],[15.75961695],[90.48416199],[52.73954729],[31.67327532],[84.49658591],[10.24954873],[70.72994948],[45.76449962],[118.24152948],[66.20270445],[64.38087495],[43.43660682],[36.8752536],[45.32226692],[31.26092247]
3,[142.69231735],[70.61137926],[69.10690757],[60.36769315],[59.5665534],[98.68017794],[110.30865434],[50.1173582],[90.09426705],[15.82035411],[39.055309],[37.86156659],[143.42372854],[349.40587678],[71.00429055],[65.99455773],[31.45130828],[125.24813441],[75.39062803],[48.43705946],[104.00143288],[47.8667283],[54.5272792],[28.17829907],[192.73768707],[19.72290812],[74.12881085],[34.25656068],[167.3852598],[42.88743384],[9.72389815],[266.63127977],[30.27605689],[67.71737583],[12.30697261],[48.23036748],[40.87472177],[113.23629173],[65.73708748],[106.4644293],[31.72704135],[81.81415046],[66.84798376],[69.7727136],[15.42524417],[88.06729359],[52.01412767],[32.52222011],[83.70596737],[9.93420101],[68.66045244],[44.71182791],[114.34587518],[65.62064284],[63.61364236],[42.89570105],[36.03052687],[44.73733936],[30.28918055]
4,[142.63834094],[71.01724877],[69.314053],[60.10959628],[59.94839585],[97.17637312],[110.90557695],[50.28442096],[90.98076954],[16.0213754],[39.61844631],[37.98308288],[144.28006771],[355.06543815],[71.63490325],[66.11091367],[31.95672937],[126.01769281],[75.99489962],[48.63207284],[105.37121931],[48.51732197],[54.88118439],[28.57933664],[194.26649652],[19.85659895],[73.54718604],[34.18065876],[170.57485044],[43.38073951],[9.84691737],[271.11096849],[29.94678811],[67.57640744],[12.56409866],[48.88785952],[41.17167511],[114.36024561],[66.08634997],[107.35566495],[32.0983778],[83.244598],[67.25298461],[70.79926389],[15.55447755],[88.24317334],[52.35192582],[32.71002827],[84.42892982],[10.08139817],[69.20812449],[45.1371987],[116.57205137],[65.94725661],[63.74384504],[42.92135797],[36.39179005],[44.75815576],[30.99481116]
5,[139.9756994],[70.60902899],[69.28122251],[59.91857153],[60.23842872],[96.46758312],[109.93166375],[49.86088064],[91.25173731],[16.04754355],[39.26005631],[37.44811769],[143.83997214],[354.82023724],[71.77408445],[64.62728032],[31.72937502],[125.5759397],[75.54590412],[48.61149541],[103.89044885],[48.00328128],[54.49042491],[28.19045003],[195.58044817],[19.57831343],[73.31966347],[33.74176049],[169.0215226],[43.13062347],[9.65085651],[266.30145858],[29.53722412],[67.21406641],[12.32322859],[48.82125972],[40.98078832],[113.95314945],[65.32155468],[106.6414928],[31.79808336],[82.98528737],[66.38969493],[70.22993196],[15.43415452],[88.32090403],[52.25901055],[32.40685335],[84.50620512],[9.99350791],[68.55091969],[44.71684338],[114.70141505],[65.00377992],[63.70830609],[42.74857362],[36.4423602],[44.51539803],[30.56880258]
6,[141.59643785],[70.3719616],[69.31032897],[60.06302413],[60.5869575],[97.17097025],[110.69240375],[50.04555915],[91.42561148],[16.28181711],[40.10635042],[37.9734988],[144.39003225],[356.66891257],[72.03560158],[65.1468149],[32.19747266],[125.4433879],[75.33678385],[49.02795991],[104.07030473],[50.18094543],[54.8510986],[28.43684505],[195.25848576],[19.90495838],[74.42411747],[34.2319963],[172.57381548],[43.29111218],[9.82306662],[267.60845556],[29.60139638],[67.77751108],[12.67704471],[48.83247313],[41.31084537],[115.48861163],[65.24054106],[107.97217653],[32.37315809],[83.04532379],[66.32248664],[71.10359181],[15.6568928],[89.96866329],[52.63979993],[32.1202097],[84.3652756],[10.27711494],[69.93629257],[45.47019741],[115.07367883],[65.24503541],[64.28133387],[43.05379282],[36.57101948],[45.00384133],[31.28768184]
7,[141.85465021],[70.55021675],[69.42830937],[61.27684845],[60.6710365],[98.17964203],[110.71782884],[50.01745453],[83.90030772],[16.46620945],[40.36051872],[38.76020015],[144.74519011],[352.70580756],[73.65530321],[64.85231374],[32.55055025],[126.05337872],[75.24171173],[49.46869729],[104.03835926],[51.65552128],[55.35528188],[28.5181174],[195.60475535],[20.53497328],[76.71364811],[34.83775861],[174.27398753],[43.26967665],[10.01085894],[266.9873521],[29.76014785],[68.34925549],[12.89139536],[49.1573842],[41.78738158],[117.38891845],[65.79749736],[108.4021561],[32.92053214],[82.93235322],[66.41125347],[71.06369804],[15.78653939],[91.64971372],[52.75326205],[32.34469094],[84.49181836],[10.53132455],[70.48814372],[46.23627824],[118.00379384],[65.80623916],[64.38181651],[43.58509576],[36.63867637],[45.23815063],[32.05439409]
8,[140.88174109],[69.79147648],[68.33446584],[67.03499219],[60.04084846],[97.89416025],[110.06565193],[49.20776399],[83.26773071],[16.54338618],[42.25509344],[38.90466196],[144.54914461],[349.19452757],[74.41946284],[63.92204733],[32.18045177],[123.06753707],[73.10324632],[49.55085251],[103.62207265],[51.48319927],[55.54751514],[28.18988009],[192.79976263],[20.98828442],[76.07183854],[34.55968507],[174.43578201],[42.91224934],[10.12906835],[265.6464274],[29.83163043],[68.26115284],[12.9841615],[48.79311843],[41.38843559],[118.54016628],[65.30300197],[108.15977911],[32.87218114],[82.44786741],[65.89354358],[70.98746673],[15.89870197],[93.14892186],[52.78574642],[32.03079118],[83.88757585],[10.59871878],[71.04506639],[46.38822604],[116.5623855],[65.89112021],[63.88130824],[43.9256506],[36.42636233],[44.92936906],[32.21437548]
9,[141.36852266],[69.42172588],[67.64704939],[67.27859936],[60.01345947],[97.5480243],[109.55251126],[48.9119857],[82.87387962],[16.66187381],[42.89223997],[38.74905147],[143.72064898],[345.73770991],[74.86503957],[63.89012813],[32.27650823],[122.10685517],[71.73329477],[49.55660165],[104.18308994],[51.39328234],[55.33641788],[29.52304869],[193.11429946],[21.17449143],[75.95619517],[34.43185931],[174.40881826],[42.6542636],[10.04706686],[265.97808469],[29.82359999],[68.49085838],[13.02244057],[48.48429174],[40.82011637],[118.64276029],[65.08162845],[102.28259733],[33.44961649],[82.95219657],[66.19496281],[70.95944379],[16.06624252],[92.72531804],[52.61921204],[31.87651408],[83.18218082],[10.63491685],[70.79221049],[45.60193718],[125.65380741],[65.87992442],[63.4751644],[43.81161043],[35.96028903],[45.08159696],[32.34420579]
