,Abbott_Laboratories_predictions,AbbVie_predictions,ABIOMED_predictions,Agilent_predictions,Align_Technology_predictions,Allergan_predictions,AmerisourceBergen_Corp_predictions,Amgen_predictions,Baxter_International_predictions,Becton_Dickinson_predictions,Biogen_predictions,Boston_Scientific_predictions,Bristol_Myers_Squibb_predictions,Cardinal_Health_predictions,Celgene_predictions,Centene_Corporation_predictions,Cerner_predictions,CIGNA_predictions,The_Cooper_Companies_predictions,CVS_Health_predictions,Danaher_predictions,DaVita_predictions,Dentsply_Sirona_predictions,Edwards_Lifesciences_predictions,Gilead_Sciences_predictions,HCA_Holdings_predictions,Henry_Schein_predictions,Hologic_predictions,Humana_predictions,IDEXX_Laboratories_predictions,Illumina_predictions,Incyte_predictions,Intuitive_Surgical_predictions,Johnson_Johnson_predictions,Laboratory_America_Holding_predictions,Lilly_predictions,McKesson_predictions,Medtronic_predictions,Merck_predictions,Mylan_NV_predictions,Nektar_Therapeutics_predictions,PerkinElmer_predictions,Perrigo_predictions,Pfizer_predictions,Quest_Diagnostics_predictions,Regeneron_predictions,ResMed_predictions,Stryker_predictions,Teleflex_predictions,Thermo_Fisher_Scientific_predictions,United_Health_Group_predictions,Universal_Health_Services_predictions,Varian_Medical_Systems_predictions,Vertex_Pharmaceuticals_predictions,Waters_Corporation_predictions,WellCare_predictions,Zimmer_Biomet_Holdings_predictions,Zoetis_predictions
0,[43.47889143],[63.27589498],[131.61333773],[47.65466002],[91.09999578],[242.64104222],[79.70604204],[168.37410402],[48.29290751],[179.32197224],[304.8860236],[23.74571514],[49.69509588],[76.4836582],[104.16986704],[63.06173834],[61.7747374],[127.78280187],[182.02202066],[86.7989639],[78.19033943],[63.75025591],[59.81524144],[121.4818161],[75.53392229],[75.90055618],[163.18734822],[40.02718639],[178.68552755],[117.06912342],[184.73239106],[95.45274578],[725.28212605],[119.75178195],[139.06509361],[82.97837084],[165.41439503],[86.22028954],[63.85636123],[38.85596664],[17.1836876],[55.45555489],[92.79432883],[33.60763808],[84.85845555],[394.27782613],[65.1947931],[117.90349077],[168.94206911],[159.12171392],[138.21889363],[122.33903312],[98.93800965],[86.01005416],[158.86657267],[119.7093096],[132.67280012],[52.57658017]
1,[41.12406451],[62.45082106],[127.86954981],[45.70525698],[89.71346865],[237.74958441],[79.5265331],[164.53832588],[46.90421592],[174.0626729],[298.37063516],[23.21945444],[49.82345403],[75.37257471],[101.60434774],[61.7272645],[60.80694077],[125.13225105],[179.59188145],[86.44674392],[76.45477434],[61.9924597],[57.83496968],[118.17297769],[73.9493145],[75.74537706],[158.5646802],[38.71675305],[177.55138177],[112.80750045],[140.81245689],[92.3216769],[711.18678554],[117.92990452],[136.57417735],[81.96213954],[163.63817481],[83.33786289],[61.98288039],[38.28303307],[16.67594288],[53.82574152],[89.05309503],[33.13637237],[83.4972568],[386.03266736],[64.07330804],[113.76668906],[164.87530743],[155.25999609],[135.01906644],[121.11773215],[97.34830172],[81.87338159],[157.08023651],[117.11365847],[126.82626693],[51.23519303]
2,[41.06624604],[61.2494917],[127.71548579],[45.46593884],[90.39004397],[230.74520955],[80.75389998],[164.02331532],[46.89862217],[173.45868174],[292.18798096],[23.21332411],[49.79580121],[75.85220153],[100.08075133],[60.82245786],[60.95628549],[122.20710529],[179.50031163],[87.41712785],[76.84510052],[62.72146125],[57.81836011],[118.28589934],[72.98808274],[76.85849406],[158.90428995],[38.90757477],[168.30209938],[111.63170147],[137.19233125],[89.47363347],[710.22031322],[117.96508041],[136.61863029],[80.65425623],[162.47309191],[83.86885262],[61.78795575],[37.20979073],[16.23144367],[52.94870725],[88.10204379],[33.10587824],[83.30759287],[373.1038892],[64.06524211],[114.35315293],[165.75942198],[154.15534055],[135.33355425],[121.88039174],[97.32641605],[79.79840862],[155.94282806],[116.03873088],[127.36073399],[51.44672649]
3,[40.96474403],[61.14805409],[127.84067197],[45.23207126],[90.70334527],[232.90044604],[80.31198666],[164.27626443],[47.66900389],[172.89960097],[295.10117985],[23.17655624],[50.55009619],[75.3482016],[100.62747439],[60.2939655],[61.23319636],[121.41935014],[178.40696898],[88.02764353],[76.33412471],[62.94056183],[57.78846929],[118.85741436],[73.09995011],[79.90550163],[156.1090314],[38.36524742],[169.9236771],[110.9539639],[136.3497518],[89.87927784],[714.38135188],[118.13410784],[136.44121461],[80.2018988],[162.04058787],[83.455866],[62.52373885],[37.63751419],[16.04735787],[52.09175156],[88.19380099],[32.73987601],[83.35196789],[376.31695785],[63.86813352],[113.46120403],[167.48995182],[152.3056214],[134.34388133],[124.39074849],[96.40664217],[80.57851551],[155.14475685],[114.64873444],[126.72692079],[51.11501414]
4,[40.92134259],[60.20203734],[127.55895011],[45.16717029],[91.01037478],[228.27179834],[79.8070479],[162.3248495],[47.43681217],[172.45243942],[290.75643042],[23.05799958],[49.7234066],[75.34838302],[98.58178815],[60.09026901],[61.0574629],[121.08778066],[177.71283594],[88.81312661],[76.20659212],[62.78228924],[58.76064973],[115.96527003],[72.90489461],[80.22585454],[153.92920652],[38.5856284],[171.58909922],[111.23108006],[140.48106447],[87.55773504],[715.80759695],[117.82562509],[136.08053894],[79.5841048],[161.02504981],[83.00928281],[62.1999326],[36.52960103],[15.92806959],[52.21564468],[86.264354],[32.72280201],[83.25581549],[373.02710195],[64.75733518],[113.88878875],[169.29193332],[152.06629275],[134.28909365],[123.3415767],[95.95873026],[79.65952703],[155.14648254],[114.0634126],[127.57655319],[50.42777174]
5,[40.52364651],[60.16855873],[127.92357678],[45.25973619],[89.98244517],[224.6237176],[79.65864327],[162.60122729],[47.4069876],[171.82901095],[291.39588915],[22.8600399],[49.3291601],[74.9320507],[99.6731382],[59.76038387],[60.79787257],[118.85318648],[178.62836228],[86.72881392],[75.88137396],[62.22203577],[58.42894323],[115.63379915],[72.55477441],[80.22744481],[153.57795437],[38.59382301],[169.63534729],[111.12092585],[140.18711443],[87.13816905],[710.15629481],[118.3368123],[136.03261416],[78.71298383],[160.61992558],[82.67274186],[61.57555461],[36.59499234],[15.67428436],[51.90320508],[86.61707171],[32.48310726],[83.10720556],[367.47928833],[64.19494584],[113.73805675],[168.6553923],[151.04456159],[134.324032],[123.52131313],[95.88910643],[80.53507008],[155.16630014],[114.47530627],[126.71468101],[50.06272855]
6,[41.18451897],[61.46250958],[129.09043247],[45.44095997],[90.35466942],[228.16909552],[81.35463324],[162.76659548],[48.04641994],[172.96498262],[295.04426566],[23.13317993],[50.06220715],[75.73919494],[100.02727976],[61.39190564],[61.13412847],[123.76055115],[180.75365828],[87.04702144],[76.425032],[62.57811593],[59.10876025],[118.48063219],[73.38248169],[81.70707723],[153.53384187],[38.76515886],[173.39586284],[112.52120211],[145.05292557],[88.94708271],[721.6880205],[115.67147028],[138.31285403],[78.82804363],[162.07364381],[83.61768234],[62.10743209],[37.23914612],[14.08908211],[52.58105526],[88.29920656],[32.734572],[83.68769355],[371.02764411],[64.99712038],[114.8553055],[167.54269277],[151.8011417],[143.12702739],[125.59092765],[96.41655836],[83.06071413],[156.69203158],[116.33548242],[129.07362415],[50.94969184]
7,[39.98746494],[61.44551141],[128.09001561],[45.99415222],[90.90795037],[229.24149167],[80.37012575],[161.3893956],[47.77572328],[172.44013314],[294.9753703],[22.92777429],[49.83542543],[75.2186006],[99.94105877],[62.17694448],[60.72281756],[123.46037744],[178.90002701],[86.5285946],[77.09965278],[62.77681294],[59.42186929],[117.6383599],[73.34305761],[81.94365212],[154.36579771],[38.38205239],[174.02262303],[112.75168658],[146.67283601],[88.25396264],[683.56213194],[114.80553557],[138.04978063],[78.66668985],[161.23500039],[83.72105299],[61.88829793],[37.29411052],[13.30260518],[52.84471023],[88.05264934],[32.57775719],[83.08284392],[368.98003944],[64.52021191],[114.32709135],[168.20348028],[151.86938109],[143.97918895],[123.90662022],[96.86898707],[82.0595749],[157.186655],[117.58803178],[128.0643908],[51.06232458]
8,[40.78880463],[61.78221765],[125.62327569],[46.00658806],[91.68349573],[233.04417035],[80.68798524],[161.45973285],[48.20451582],[173.16081061],[299.2924995],[23.02693366],[50.41959713],[75.5971785],[99.90463946],[61.8739737],[60.99183654],[123.62488584],[179.92461045],[87.38298632],[79.93668061],[61.06588457],[59.00093995],[117.8537932],[74.25984079],[82.03028223],[153.01498805],[38.50983315],[174.38938911],[112.04558693],[142.79668167],[88.74818873],[679.2700543],[114.58045877],[139.8397272],[78.77012555],[161.87121424],[84.03267942],[61.95801646],[37.6107246],[13.70542827],[52.96751005],[88.43503398],[32.5581892],[84.48725572],[371.57929169],[63.57837511],[114.67487541],[169.19125499],[151.76408806],[144.67804272],[124.62550226],[100.08919214],[82.69906006],[157.22496226],[118.4012167],[128.36568719],[51.25814045]
9,[40.44788949],[60.94546299],[125.21367675],[45.51770437],[89.69713824],[230.0341149],[79.92218604],[158.66037184],[48.15234896],[172.3452946],[290.63384853],[22.83336849],[49.93210319],[75.13833982],[98.76223864],[62.08568059],[58.49833613],[124.19518409],[178.57851492],[87.41855269],[79.98980597],[61.03721075],[58.30974075],[117.76332903],[74.21667988],[81.65006475],[152.70082073],[38.10729456],[176.01991009],[110.47243936],[141.76380593],[87.31314046],[680.0892758],[113.77252658],[138.62541441],[78.30274116],[161.09562358],[83.86099476],[61.23975693],[36.90675827],[13.39339217],[52.68014843],[90.18724258],[32.14809263],[83.7815777],[362.80561536],[63.74558491],[113.71833219],[168.02229108],[150.78081534],[144.70628562],[123.55270785],[97.10896745],[80.63219913],[156.26800395],[118.00054234],[127.45607986],[51.00738137]
