,Alaska_Air_Group_predictions,Allegion_predictions,American_Airlines_predictions,AMETEK_predictions,A_O_Smith_predictions,Arconic_predictions,Boeing_Company_predictions,C_H_Robinson_Worldwide_predictions,Caterpillar_predictions,Cintas_Corporation_predictions,Copart_predictions,CSX_predictions,Cummins_predictions,Deere_predictions,Delta_Air_Lines_predictions,Dover_predictions,Eaton_Corporation_predictions,Emerson_Electric_Company_predictions,Equifax_predictions,Expeditors_predictions,Fastenal_predictions,FedEx_predictions,Fluor_predictions,Fortune_Brands_Home_Security_predictions,General_Dynamics_predictions,General_Electric_predictions,Grainger_predictions,Harris_predictions,Huntington_Ingalls_Industries_predictions,Ingersoll_Rand_predictions,Jacobs_Engineering_Group_predictions,J_B_Hunt_Transport_predictions,Johnson_Controls_International_predictions,Kansas_City_Southern_predictions,L_3_Communications_Holdings_predictions,Lockheed_Martin_predictions,Masco_predictions,Nielsen_Holdings_predictions,Norfolk_Southern_predictions,Northrop_Grumman_predictions,PACCAR_predictions,Parker_Hannifin_predictions,Pentair_predictions,Quanta_Services_predictions,Raytheon_predictions,Republic_Services_predictions,Robert_Half_International_predictions,Rockwell_Automation_predictions,Rollins_predictions,Roper_Technologies_predictions,Snap_on_predictions,Southwest_Airlines_predictions,Stanley_Black_Decker_predictions,Textron_predictions,TransDigm_Group_predictions,Union_Pacific_predictions,United_Continental_Holdings_predictions,United_Parcel_Service_predictions,United_Rentals_predictions,United_Technologies_predictions,Verisk_Analytics_predictions,Waste_Management_predictions,Xylem_predictions
0,[69.98915832],[67.29278371],[38.98521509],[47.498126],[51.2087938],[31.62850185],[136.1146051],[70.9022506],[88.18314812],[110.91147519],[54.26144054],[30.83616888],[127.99978937],[87.55618179],[39.81275581],[66.55062259],[64.00056292],[51.67752834],[131.49513115],[51.5142617],[42.10596056],[174.24023451],[51.09330229],[56.04210063],[152.99689996],[28.86569949],[223.25311854],[92.4939486],[156.37461527],[67.26590993],[51.80807932],[81.27283815],[44.77170205],[93.9699799],[151.10996161],[233.37517018],[33.95510657],[52.57991648],[95.86974294],[216.68164494],[58.52384385],[124.58360166],[59.89301318],[28.74170154],[137.53755047],[49.88942972],[38.74568053],[117.00054193],[28.47917791],[179.49907679],[149.18140948],[39.87774873],[121.66442542],[38.87208086],[283.55584975],[97.25126607],[54.27982649],[109.0136277],[81.51687008],[99.8992065],[80.15751975],[62.76597685],[50.41521495]
1,[69.22042798],[66.19351639],[38.19437807],[46.34306259],[54.05383612],[28.05990444],[133.29509016],[70.71241808],[87.4280676],[109.49453097],[53.6978852],[30.43901804],[127.64002417],[86.94220408],[38.9642582],[66.85101802],[63.03231348],[50.73287878],[128.66493586],[51.20082331],[39.92288603],[174.18487357],[49.91572443],[54.86391116],[149.69463412],[28.92918839],[216.41897102],[91.18823898],[154.2956494],[64.64096859],[49.93534056],[81.82637465],[44.24281291],[95.5619685],[149.73156318],[231.92458161],[33.2162946],[51.79372393],[94.63148504],[215.33084267],[57.47153258],[123.06782567],[59.1665831],[27.87868045],[136.33956444],[49.68463896],[37.97220847],[115.25745462],[28.11612515],[177.1246678],[146.44558071],[39.79672091],[117.84719377],[37.88035496],[276.8671967],[96.48390025],[53.56039104],[108.74342634],[79.18696109],[98.62951086],[79.38738185],[62.4645768],[49.7416114]
2,[70.50502179],[67.23618023],[37.29340908],[46.29197912],[45.251425],[27.51516044],[133.22806726],[70.41022243],[87.56860587],[109.84732285],[54.11244541],[30.19840368],[127.89853217],[86.87944025],[39.24926229],[67.65918398],[64.35114689],[50.21409426],[130.44802573],[51.3542289],[39.16598546],[173.57777461],[50.49481597],[55.46514883],[150.22534787],[28.9066434],[218.32365325],[91.15074824],[155.87663122],[65.90890708],[50.18476303],[81.27515144],[44.22424427],[93.41220343],[149.16602979],[232.21400249],[33.50864861],[52.11776413],[93.42107022],[216.89110677],[57.55782938],[124.04566227],[59.73214825],[27.96585647],[137.67718836],[49.70578436],[38.17010406],[116.40612629],[28.2371079],[176.4339818],[147.55450606],[40.08657456],[121.28642634],[37.97867238],[278.38458152],[95.82508781],[52.83000113],[108.73892967],[80.24284178],[98.971667],[79.53043564],[62.83275802],[50.10428536]
3,[72.79677489],[66.4612719],[39.38921981],[45.67690428],[49.23328061],[27.3158852],[133.51313324],[70.31220206],[87.0122026],[109.44179366],[53.95315148],[31.17695213],[126.28406231],[86.23757047],[40.03103958],[67.053402],[63.11586001],[50.28154813],[128.99939914],[51.04899466],[38.44198693],[170.96840893],[50.30280092],[55.24545038],[150.83935275],[28.7808593],[213.7994454],[89.72047904],[155.71690172],[65.37140414],[50.15045944],[79.89842669],[43.54466067],[93.24475861],[149.05738276],[233.04615382],[33.4300905],[52.55946035],[94.9448909],[218.44329963],[56.77749425],[123.43597748],[58.86207027],[27.88036622],[137.99088179],[49.65950114],[37.75778548],[116.51685719],[28.2763266],[174.02632291],[146.14678922],[41.45653406],[120.91063778],[37.96079161],[278.52979802],[96.63550999],[53.77970242],[108.31049478],[78.11974073],[99.81128954],[79.38041731],[61.76768894],[49.69649812]
4,[72.32690898],[67.87916538],[38.67142873],[45.92455009],[48.95026066],[26.71640865],[133.32937871],[70.2932818],[87.65494934],[109.36787049],[53.93171929],[31.01625778],[125.8112231],[86.31510101],[40.03876854],[67.71700311],[63.3986282],[49.97782155],[130.63926081],[51.01045285],[38.52065496],[170.90399273],[49.37673935],[55.02898028],[151.59976707],[28.90437269],[214.27667961],[89.72278895],[156.67452625],[65.91581774],[50.03444539],[79.97913756],[43.87716645],[94.56289773],[148.56906273],[232.66181099],[33.50266933],[53.48071984],[94.97411438],[219.03894496],[56.90834999],[124.71733523],[58.74847468],[27.92468121],[137.40194395],[49.8288261],[38.20913339],[116.95813084],[28.19942755],[173.05208045],[147.62129732],[41.30576354],[121.80120037],[37.77839145],[278.46490238],[96.70463343],[53.22552819],[108.4268892],[75.28881305],[100.23836421],[79.42936963],[61.88124426],[49.50358684]
5,[72.02414492],[68.26608438],[38.5722389],[45.45893266],[49.32889585],[26.49541849],[134.13867609],[68.77870403],[87.34440231],[108.42569582],[54.02531188],[31.04690412],[125.81488255],[86.51940635],[39.35015514],[67.58549199],[62.96579794],[49.74063617],[129.53126949],[51.08378669],[38.37743692],[170.89163673],[49.75294145],[55.63551892],[150.52702254],[28.84263656],[214.66321074],[89.58051065],[159.37528056],[65.28998168],[50.33795054],[78.40529815],[43.81869933],[94.67307966],[148.23681769],[232.92092816],[33.84843697],[53.43672299],[94.86032998],[219.19402312],[56.86920516],[124.38790329],[59.04020424],[27.67075288],[137.47707318],[50.14963213],[38.0268733],[115.49182161],[28.19253638],[171.43524548],[149.2527558],[41.29601546],[120.05168113],[37.83840204],[280.08627429],[96.65998801],[53.03072786],[108.04557585],[75.77188519],[99.7404418],[79.47075711],[62.61852937],[49.21076483]
6,[72.13892926],[67.97021601],[39.41796091],[45.69793762],[49.21098694],[26.60166037],[135.19897307],[68.88238611],[87.19275121],[108.4902951],[54.10863505],[31.01585681],[127.14480908],[86.61762809],[39.5091322],[67.49192609],[63.27150444],[49.86751086],[130.43364462],[49.55941287],[38.20973359],[170.78997975],[50.46819444],[54.85661185],[151.91150562],[28.9889999],[205.6169377],[90.41122964],[160.76981937],[64.95666956],[50.5813726],[78.98532697],[43.95482081],[92.43004985],[149.194392],[232.90391404],[33.46707135],[53.84606952],[95.03682696],[219.52914831],[56.93349184],[122.83042459],[59.43091986],[27.8823468],[137.70620264],[50.26143945],[38.0340583],[115.94415338],[28.25761545],[172.49567579],[149.87094682],[41.68972981],[120.04762676],[38.08233512],[281.95906785],[96.61160201],[53.7488824],[108.13238079],[76.29073754],[99.93705521],[80.3991372],[62.56274433],[49.18106969]
7,[73.51138956],[67.06484438],[40.74752926],[45.64623642],[48.79008309],[27.09511174],[136.19323797],[68.81589976],[88.00183359],[108.18197186],[54.51833184],[31.03102806],[128.38000111],[86.5942431],[40.93386685],[69.27588793],[63.65973515],[49.92038032],[130.22861874],[49.68280361],[38.9315529],[170.49398863],[50.06369982],[53.89117673],[151.43622443],[29.06113251],[204.97058626],[91.68356846],[159.38726534],[65.41372907],[50.82164372],[77.78068974],[44.41053266],[92.99139465],[148.29803475],[232.45342612],[32.9750938],[54.27233165],[95.5997549],[218.35126546],[56.96294354],[123.51945145],[58.93664582],[28.19990314],[137.41973014],[50.18980773],[38.23807065],[117.41311895],[28.223666],[174.35418193],[149.09931398],[42.26146215],[119.65835769],[38.0974263],[281.93037988],[97.02482422],[55.53230783],[108.05180402],[75.66430527],[99.67774041],[80.43740065],[62.45076291],[49.45783654]
8,[75.17406293],[67.33906523],[40.63382026],[45.48632614],[48.43642794],[26.70961991],[135.74597067],[68.86841595],[86.65210329],[106.78593108],[54.06631851],[30.33861127],[126.96255402],[86.07719396],[41.43289461],[68.19966334],[63.80947686],[50.15919026],[129.6283778],[49.75340351],[38.77238436],[169.72801745],[49.33277812],[54.10100072],[150.96052946],[29.06742807],[205.72882274],[91.02331035],[157.30031739],[65.82445267],[50.68723083],[77.5662267],[44.1924989],[91.37568285],[147.34177454],[231.96327546],[33.20629049],[53.99386707],[93.0450183],[217.56219625],[56.61682937],[122.84576185],[58.20060223],[28.33064802],[137.40275867],[50.00327042],[38.19541003],[118.04766266],[28.19732672],[173.26293199],[158.92352591],[42.33457389],[120.37682035],[39.4776095],[260.91072399],[90.59028788],[56.58854132],[107.42905448],[79.43169215],[99.30899727],[80.04386465],[62.48407393],[48.98272144]
9,[74.52817514],[67.29752761],[39.84387739],[45.24515385],[48.10293419],[26.82027484],[135.62338344],[68.90198428],[86.26975918],[106.5818971],[53.49363583],[30.31350513],[126.54196042],[86.43630109],[41.1426956],[68.49908215],[63.69914552],[50.06895503],[129.87918008],[49.83761759],[38.34768424],[170.20091594],[49.43300106],[54.31888195],[150.17261853],[28.98105169],[203.82583878],[90.64547222],[155.60645774],[65.80905558],[50.51253623],[78.35365353],[44.03098086],[90.38500308],[146.41136992],[230.64490115],[33.06884757],[54.60043274],[92.97732399],[216.11981096],[56.49954093],[123.30169115],[58.3401025],[28.28667958],[136.83128332],[49.9496791],[38.83791115],[122.90479464],[28.14466157],[172.39985518],[159.02939832],[42.47554493],[119.8391792],[38.93345542],[263.68819918],[90.41533501],[55.45766347],[107.14675142],[78.96774225],[98.60824468],[81.31121849],[62.25441161],[48.85486334]
