,Accenture_predictions,Adobe_Systems_predictions,Advanced_Micro_Devices_predictions,Akamai_Technologies_predictions,Alliance_Data_Systems_predictions,Amphenol_Corp_predictions,Analog_Devices_predictions,ANSYS_predictions,Apple_predictions,Applied_Materials_predictions,Autodesk_predictions,Automatic_Data_Processing_predictions,Broadcom_predictions,Broadridge_Financial_Solutions_predictions,Cadence_Design_Systems_predictions,Cisco_Systems_predictions,Citrix_Systems_predictions,Cognizant_Technology_Solutions_predictions,Corning_predictions,F5_Networks_predictions,Fidelity_National_Information_Services_predictions,Fiserv_predictions,FleetCor_Technologies_predictions,FLIR_Systems_predictions,Fortinet_predictions,Global_Payments_predictions,HP_predictions,Intel_predictions,International_Business_Machines_predictions,Intuit_predictions,IPG_Photonics_predictions,Jack_Henry_Associates_predictions,Juniper_Networks_predictions,Keysight_Technologies_predictions,KLA_Tencor_Corp_predictions,Lam_Research_predictions,Mastercard_predictions,Microchip_Technology_predictions,Micron_Technology_predictions,Microsoft_predictions,Motorola_Solutions_predictions,NetApp_predictions,Nvidia_Corporation_predictions,Oracle_predictions,Paychex_predictions,QUALCOMM_predictions,Red_Hat_predictions,Salesforce_predictions,Rollins_predictions,Seagate_Technology_predictions,Skyworks_Solution_predictions,Symantec_predictions,Synopsys_predictions,TE_Connectivity_predictions,Texas_Instruments_predictions,Total_System_Services_predictions,Verisign_predictions,Visa_predictions,Western_Digital_predictions,Western_Union_predictions,Xerox_predictions,Xilinx_predictions
0,[117.69652479],[109.29641599],[6.82774846],[55.34887303],[208.58916833],[64.82384615],[63.42834494],[91.58626479],[115.39923929],[29.38148762],[72.22722107],[87.79214285],[174.70266478],[66.69881165],[26.24836959],[31.44530157],[84.79468077],[50.35578621],[23.836663],[123.32161295],[77.44405724],[100.6000197],[174.64317836],[30.44985694],[35.03596174],[75.43857658],[15.57748453],[38.04273855],[157.01325573],[108.32060946],[85.45888303],[83.26108682],[24.57174169],[11.01328255],[73.50250097],[102.07860748],[101.57977056],[61.35089565],[17.48897873],[58.06569199],[74.72138952],[34.69403683],[67.11099999],[38.62843359],[56.6793135],[67.15058166],[78.07299242],[74.81564639],[28.47917791],[37.98575957],[80.1746255],[25.25169559],[60.39089956],[63.73992056],[69.96533356],[47.44834091],[76.56928552],[82.91915736],[59.38605951],[20.29554073],[9.95570949],[52.25892382]
1,[116.94740913],[107.37093473],[6.51188685],[54.20609646],[208.22443863],[63.95642838],[62.24206757],[91.20937281],[115.63858177],[28.62854269],[70.08499626],[86.13409201],[171.42566843],[65.13664052],[25.66064123],[31.08123438],[83.14954361],[49.81159889],[23.62741181],[121.97656341],[76.48712346],[99.15303765],[171.27786031],[29.8471025],[34.19678906],[73.83051022],[15.42894179],[37.32979695],[154.63949621],[106.9659912],[83.27297469],[81.43484445],[23.96629854],[10.88295813],[72.37579912],[99.62765781],[100.27337497],[59.71064869],[16.8023631],[57.19636731],[73.4524213],[34.07649593],[66.13610955],[38.03949807],[56.03955689],[66.10832727],[76.74676706],[72.26911761],[28.11612515],[34.76926522],[79.41256744],[25.07912348],[59.72010758],[62.68277221],[68.84381888],[46.81048105],[75.45320378],[81.8626073],[56.34571388],[19.92713119],[9.77544421],[50.95895558]
2,[117.76713797],[108.23461712],[6.60148024],[54.22963398],[208.04385],[63.95015228],[61.35714933],[91.8650236],[116.67705876],[28.64459043],[70.35283689],[86.90661974],[170.81472787],[65.44999916],[25.78454292],[30.34816841],[83.42238517],[49.94238064],[23.40849],[118.10175272],[77.34427943],[100.21190832],[171.57069483],[29.50131577],[30.68570645],[74.09910463],[15.33042667],[37.16028833],[154.44725735],[107.71402855],[83.51949848],[82.64054903],[23.54937228],[10.97786675],[72.10381623],[98.71700085],[100.28003003],[59.03907892],[16.78837592],[57.14388649],[73.73918251],[33.85741833],[66.39775972],[38.08335446],[56.18331011],[66.10331321],[77.23288753],[72.3530519],[28.2371079],[35.24060883],[78.98799753],[24.95756718],[59.80900418],[62.18397193],[68.59813566],[47.62716335],[76.26947325],[82.0025851],[56.30523239],[20.08005321],[9.79557768],[50.05590461]
3,[118.17299184],[107.95399095],[6.52123967],[54.48712654],[206.57838929],[63.25184615],[60.86261813],[91.77250035],[116.30562676],[27.84055351],[69.21143186],[86.87839386],[169.19698465],[65.3014488],[25.86829725],[30.14165499],[83.45900214],[51.15299443],[23.19618746],[116.32036902],[76.415114],[99.7552391],[169.29663561],[29.25659685],[31.08330896],[73.32869845],[15.13734636],[36.9774714],[153.58398917],[106.78581205],[81.83816092],[82.21918525],[23.2251375],[10.72670836],[71.33661453],[97.84508262],[99.60005115],[58.45517106],[16.85270025],[56.94748614],[73.02232168],[33.82888321],[65.38784481],[38.03038156],[56.22105056],[65.71705639],[76.88665241],[70.86895032],[28.2763266],[35.17838674],[77.48686116],[24.33923825],[59.38708022],[61.32364988],[67.89741698],[46.75415429],[75.16683208],[81.71410478],[55.31212514],[19.92558586],[9.56807288],[49.89611363]
4,[118.26244747],[108.05591806],[6.7449457],[54.70381861],[209.61882055],[63.57204249],[62.1015542],[91.12973406],[116.98698325],[28.08670172],[69.48095034],[87.52296904],[170.51732591],[65.85561268],[26.03027888],[30.16381607],[83.57094784],[50.27518858],[23.3802722],[116.83354755],[76.67267377],[100.18553155],[170.99012767],[29.3052819],[31.21517952],[73.1981885],[14.46420912],[37.43972347],[154.54849292],[107.12089506],[83.41102543],[82.8502138],[22.79608177],[10.77312243],[72.05357816],[98.37844477],[99.81714566],[59.05362893],[17.14352049],[57.47372517],[73.6418031],[33.49353366],[65.96413252],[38.40661969],[56.25483592],[65.8381056],[77.22094629],[74.09296999],[28.19942755],[34.99159642],[77.852437],[24.13068912],[59.86967199],[61.11930831],[68.64216601],[47.25985345],[75.76354008],[82.19367408],[54.55752369],[20.1525457],[9.63728986],[49.96864405]
5,[116.90133217],[107.63871081],[6.70148461],[54.9172867],[206.39297336],[63.00342969],[61.72483252],[90.97549462],[116.90021446],[27.79483848],[68.83789714],[87.30868739],[169.09146698],[65.57467427],[25.97878166],[30.23813027],[83.25295895],[50.03324366],[23.43668414],[116.59043532],[75.84304642],[99.88111067],[173.10420797],[28.97350935],[31.05677451],[72.96794417],[14.00681653],[37.28310036],[154.64177694],[106.9067989],[82.63496656],[82.34211115],[22.49189473],[10.75930928],[71.98772865],[98.17671653],[99.81724356],[58.74284321],[16.9595213],[57.28573938],[73.15520283],[33.42145694],[65.64943743],[38.29747261],[55.73563694],[65.19317922],[76.19370022],[72.79667318],[28.19253638],[35.11031529],[76.80536771],[24.22906929],[59.75596072],[61.05483265],[68.48165979],[47.03423809],[75.16431703],[81.99945003],[53.12799094],[19.82516153],[9.56821098],[49.6979766]
6,[117.59415159],[108.48209925],[6.71088777],[55.92837261],[210.92289992],[63.2031966],[62.09073761],[91.4349009],[116.83327327],[28.04565941],[70.18468489],[87.36427986],[172.38223401],[65.55157829],[26.23723907],[30.41532818],[85.26517129],[50.10281142],[23.63641374],[117.59113012],[76.11504635],[100.13248855],[173.37031489],[29.34303122],[31.02961992],[74.27335591],[14.19122705],[37.75433226],[150.63970207],[107.24111189],[82.75821366],[82.61125231],[22.85317437],[10.82850066],[72.12417363],[99.52253129],[100.68072252],[58.88946647],[17.44416461],[57.69944313],[73.85111862],[33.62340037],[66.61105762],[38.42053177],[56.14031378],[66.19371722],[77.57336144],[72.76153039],[28.25761545],[35.33235306],[77.83413489],[24.24385142],[59.69300544],[61.33814208],[69.2974251],[48.25937482],[75.73717647],[81.35944086],[53.87184667],[19.8087601],[9.68816628],[50.18456023]
7,[116.82515703],[108.44558239],[6.78232731],[56.64138867],[214.49644542],[64.70514579],[61.90446353],[91.52319944],[116.46963392],[28.33881417],[70.83452341],[87.43516042],[171.89670792],[65.01766648],[26.13995598],[30.35323984],[86.16449802],[50.35142602],[23.78760977],[118.70464923],[76.33524336],[99.86558071],[174.74736467],[29.29709542],[31.12891946],[74.3772777],[14.08737097],[35.62165684],[151.43801756],[108.26904877],[83.10454817],[82.2019384],[22.94197037],[10.94632791],[71.91351345],[99.78684412],[101.69917514],[60.05520294],[17.17960276],[57.54976373],[73.82615504],[33.64797885],[66.5680168],[38.34122735],[56.32860973],[65.67011152],[78.35461629],[72.91522876],[28.223666],[34.20771387],[77.88659118],[24.23928322],[59.74207958],[62.03716111],[69.47994411],[48.13942074],[75.87276873],[82.59707112],[53.65436026],[19.98878806],[9.70330082],[49.59117303]
8,[116.17194158],[109.19514207],[6.96442056],[56.72970014],[205.11662099],[66.35384306],[63.4108554],[91.1742867],[116.42768482],[28.40780876],[71.22220666],[86.84519799],[173.59775422],[64.23477695],[25.85271997],[30.18642122],[86.2470635],[50.00723234],[23.81207038],[118.16194411],[75.42174495],[99.73522275],[172.50744651],[29.20595565],[31.35303082],[73.57582873],[14.04776089],[35.4810511],[151.37163381],[107.90213433],[83.06993685],[81.94838398],[22.78690844],[10.68025443],[72.01189837],[97.002309],[101.50956272],[59.70117147],[17.20368496],[57.26338049],[73.58697206],[33.87129636],[67.79308877],[38.09760908],[56.29275191],[67.44317262],[77.51115882],[72.61088091],[28.19732672],[34.99442946],[78.21535671],[24.20178717],[59.27221426],[62.07879241],[69.72773738],[47.84568914],[76.59223407],[82.32666908],[53.68676626],[20.00400021],[9.62536902],[50.11804373]
9,[115.69245502],[109.03326293],[6.53069983],[57.6522546],[200.10095634],[65.84665849],[62.90594445],[91.10527169],[115.96519228],[28.44863556],[71.24801937],[86.76722986],[172.89285265],[64.39866692],[25.72195478],[30.1382275],[85.37942197],[49.63639418],[23.83668226],[118.07035725],[75.13042247],[99.24044927],[173.59677357],[28.95838969],[31.81869169],[72.80246612],[13.78409036],[35.15022283],[149.72164676],[108.51337363],[83.12595086],[81.81090167],[23.13145767],[10.48787983],[73.64974353],[97.60694493],[101.79259474],[59.51888862],[16.91320511],[59.68725928],[73.60263458],[33.9224204],[67.71588569],[37.9488728],[55.9921069],[67.70706826],[76.96821165],[73.9208815],[28.14466157],[34.46799604],[77.44964528],[24.08689392],[59.1519161],[61.78024357],[69.9639294],[47.83075843],[81.53516471],[82.11544227],[53.1099144],[20.00625779],[9.51343375],[49.78029835]
