,Air_Products_Chemicals_predictions,Albemarle_Corp_predictions,Avery_Dennison_predictions,Ball_predictions,Celanese_predictions,CF_Industries_Holdings_predictions,Eastman_Chemical_predictions,Ecolab_predictions,FMC_Corporation_predictions,Freeport_McMoRan_predictions,International_Paper_predictions,LyondellBasell_predictions,Martin_Marietta_Materials_predictions,The_Mosaic_Company_predictions,Newmont_Mining_Corporation_predictions,Nucor_predictions,Packaging_Corporation_of_America_predictions,Sealed_Air_predictions,Sherwin_Williams_predictions,Vulcan_Materials_predictions
0,[135.55221397],[83.73227927],[76.2546164],[79.32848352],[66.40307553],[23.58109335],[66.15115069],[119.16643699],[47.77666302],[10.15224337],[46.80589747],[82.01296275],[172.18425604],[24.82635893],[34.02064991],[47.73254372],[81.36144399],[44.75990189],[270.87796973],[107.76995791]
1,[132.55380112],[81.59273093],[75.5992326],[78.37027904],[65.46583489],[23.15988244],[65.19803135],[117.32297649],[47.23174609],[9.82495448],[45.71705318],[80.24146793],[168.73373991],[24.8074437],[33.88188809],[47.34065414],[80.67534612],[44.57547174],[267.51450604],[106.6252931]
2,[132.82985105],[81.08751293],[76.2021628],[78.78332088],[64.85388026],[22.61039235],[64.32444339],[117.22692379],[46.97902289],[10.02322949],[46.4272228],[79.99147826],[170.31935039],[23.7138587],[34.50582975],[47.2843887],[82.21532993],[44.61266459],[269.39333761],[107.4057861]
3,[132.25813985],[80.48182493],[75.74359493],[78.6286109],[63.61527801],[22.75634163],[63.1286797],[117.17631441],[46.31241644],[9.59444343],[45.85962714],[80.05586208],[171.70677692],[23.22964703],[34.80987039],[46.54079865],[81.54450549],[44.24526019],[269.36728433],[108.58596474]
4,[132.69491699],[80.76509739],[76.50610292],[79.27324528],[63.44010873],[21.96462603],[63.61429229],[116.77171998],[46.53933566],[9.60991364],[46.76678549],[79.64974201],[173.43906171],[23.1149743],[34.27904524],[46.80497199],[82.48569376],[44.65877752],[268.70132161],[109.74057467]
5,[132.38275641],[81.41614902],[76.47797966],[79.53515166],[63.64811577],[22.31512149],[63.48091403],[116.4322597],[46.35225405],[9.48384228],[47.10816763],[79.59309999],[177.34965623],[22.7606881],[35.0114566],[46.74516409],[83.39767087],[44.6989392],[269.60523203],[112.63589182]
6,[133.89858139],[81.7527456],[76.49517332],[80.91591062],[69.6321887],[23.18482189],[65.36235488],[116.64712101],[47.17693915],[9.69663578],[47.05397257],[80.2454815],[178.13369211],[23.40307274],[36.14016037],[47.16997926],[83.86239761],[44.27360349],[270.91017859],[111.51844866]
7,[133.97243196],[82.74524933],[76.65224254],[81.9767434],[70.60402449],[23.846088],[66.16799503],[116.844661],[47.86488569],[10.02243657],[48.11809166],[81.74397938],[177.56266516],[23.81314565],[36.98780151],[48.01229395],[85.45955853],[44.23386934],[271.625715],[110.72735031]
8,[134.46859263],[83.07929606],[75.99514588],[80.18777004],[70.73172669],[24.69283414],[66.97314648],[116.43510013],[48.02920495],[10.19831665],[47.18043165],[81.5344713],[178.58353281],[24.68577306],[37.02710132],[48.37610511],[81.59560868],[43.62088521],[275.75678417],[110.46166522]
9,[134.48649178],[82.18506867],[75.602341],[79.85853925],[70.29921429],[25.64358065],[66.89479237],[115.83557228],[47.38057196],[9.99037648],[47.00992052],[81.7368216],[179.8949893],[24.25071607],[36.40254383],[47.96516889],[81.22941629],[43.41418981],[277.11199077],[111.70947515]
10,[134.8091016],[83.42890419],[75.9526056],[80.27817121],[71.77568682],[25.03779997],[66.87298957],[116.75716906],[47.86988721],[10.11984943],[46.63320033],[81.52331705],[180.44034394],[24.5030343],[35.88609709],[47.67812881],[82.73205159],[43.08543302],[278.00201657],[112.32314724]
11,[133.50295111],[82.00967282],[75.83075378],[79.74350687],[71.79421266],[25.2690322],[66.3471664],[115.96802318],[47.32986322],[10.52813095],[46.72901031],[79.8355022],[178.0358387],[24.56391304],[36.59381937],[46.92869683],[81.17681192],[42.51775535],[248.67435891],[110.74475244]
12,[132.96660346],[81.00630251],[71.16842395],[79.66748398],[71.14925635],[25.27530522],[66.98374168],[115.37270366],[47.12344898],[10.56048449],[46.19935147],[80.3514092],[178.36209175],[24.77440591],[36.21067613],[47.28562209],[80.73531547],[43.43966842],[250.17655775],[112.50690235]
13,[133.39276813],[82.1520272],[70.70058674],[78.44362667],[71.69979884],[24.21165759],[67.25016464],[115.08570632],[46.94499072],[10.65245894],[45.219704],[80.38287531],[176.89273812],[23.86428846],[34.8594688],[46.71765595],[81.04407042],[44.36135832],[247.9465741],[111.85198352]
14,[133.83667228],[82.87793102],[68.73612444],[77.21940573],[72.38925978],[24.24891508],[71.93018179],[115.13546885],[47.13049625],[10.89337187],[45.04478159],[80.35354776],[181.70579604],[23.78027032],[35.37061698],[47.6056868],[81.54735644],[45.46433388],[245.98934798],[112.67775906]
15,[133.50845439],[83.72852604],[70.04358798],[77.14838596],[72.97844692],[23.71746002],[72.15946786],[114.23390185],[46.82594482],[11.1561816],[45.09346078],[79.54349926],[185.17677188],[23.48326746],[36.99045061],[48.78005922],[82.41593243],[45.57496989],[244.66549308],[113.18556623]
16,[132.27756901],[83.00860757],[69.13691143],[76.88082135],[72.38057347],[24.61536186],[72.2571075],[112.24905314],[47.15956474],[11.11405846],[44.34532156],[78.13851332],[193.23124829],[24.31029166],[37.92741456],[47.95429275],[80.55720742],[45.66878321],[240.94534808],[115.69244701]
17,[133.57151376],[82.18269858],[69.06488138],[76.98330183],[71.77738538],[24.39698264],[70.57243894],[112.16744732],[46.02439783],[10.53230834],[44.1864902],[77.39216109],[190.01590641],[24.70671651],[37.19520862],[48.24071353],[79.6411929],[45.32116041],[242.62714918],[112.41442599]
18,[133.07741788],[83.83762779],[70.38460193],[78.25554783],[71.85655684],[22.25753397],[71.117442],[111.30711676],[50.95874181],[10.65830343],[43.63602973],[78.47985987],[189.09359928],[24.08352613],[37.77914856],[48.60402],[78.77015364],[45.51066897],[241.5183927],[114.56826404]
