,American_Tower_Corp_predictions,Alexandria_Real_Estate_Equities_predictions,Apartment_Investment_Management_predictions,AvalonBay_Communities_predictions,Boston_Properties_predictions,Crown_Castle_International_predictions,Digital_Realty_Trust_predictions,Duke_Realty_predictions,Equinix_predictions,Equity_Residential_predictions,Essex_Property_Trust_predictions,Extra_Space_Storage_predictions,Federal_Realty_Investment_Trust_predictions,HCP_predictions,Host_Hotels_Resorts_predictions,Iron_Mountain_predictions,Kimco_Realty_predictions,Macerich_predictions,Mid_America_Apartments_predictions,Prologis_predictions,Public_Storage_predictions,Realty_Income_Corporation_predictions,Regency_Centers_Corporation_predictions,SBA_Communications_predictions,Simon_Property_Group_predictions,SL_Green_Realty_predictions,UDR_predictions,Ventas_predictions,Vornado_Realty_Trust_predictions,Weyerhaeuser_predictions
0,[109.5912957],[104.32265039],[42.43029845],[167.17692252],[128.94381715],[88.73103252],[92.60483521],[25.59631427],[356.95313252],[60.87689771],[212.444003],[75.86428721],[145.87569705],[36.05482639],[15.69604957],[33.89755775],[28.11188843],[76.65971172],[87.1775639],[50.07444091],[211.49678406],[62.11642632],[74.76088806],[110.19161318],[197.43746293],[106.02841283],[33.78343631],[66.68757487],[96.62881534],[31.08209599]
1,[108.76596591],[101.84707186],[42.26353328],[166.8841288],[127.50930799],[89.00048882],[91.48680275],[25.34307014],[352.8987141],[60.49966403],[210.21084679],[74.92929406],[144.18760367],[35.7223522],[15.41750431],[33.72678981],[28.01746255],[76.01202944],[85.87411987],[49.68903253],[209.60177923],[60.66428081],[73.80391311],[108.45524354],[195.45779001],[104.49629034],[33.67895134],[66.27559215],[95.20659245],[30.75125064]
2,[111.46186296],[103.250247],[42.72877371],[167.70912676],[128.25480465],[91.54639938],[93.46561652],[25.54859164],[359.94122049],[61.165382],[211.65825615],[75.73855507],[146.38837789],[36.11674571],[15.53521904],[34.62043601],[28.1904611],[76.52584074],[87.04836018],[50.21718601],[212.97453635],[61.7472617],[74.01374789],[110.53239569],[198.82370257],[105.46718779],[33.84708167],[66.49637206],[95.37953614],[31.38207567]
3,[112.79721409],[103.8434666],[43.15595038],[168.14775085],[128.80070491],[91.99229282],[94.59086948],[25.72055053],[361.95378767],[61.11923318],[208.72949151],[76.17775256],[148.62315074],[36.5068969],[15.50140034],[35.28425421],[28.35652142],[76.95248654],[89.02349749],[51.18337972],[214.54415259],[62.71664463],[74.6537425],[111.26803957],[199.08752881],[105.53408456],[34.18679937],[66.70424115],[95.64210891],[31.1716361]
4,[113.47206136],[104.11828529],[42.78811322],[169.00996995],[127.02662843],[92.06937261],[94.87146925],[25.67669909],[361.57223411],[61.37948871],[208.78187847],[76.05008326],[147.45009341],[36.24505403],[15.43755205],[34.42197159],[28.11595414],[76.43689857],[89.11904419],[50.90329815],[214.2265817],[62.14315315],[74.5289963],[112.14566203],[197.05583327],[105.20399075],[33.7815636],[66.70259004],[95.29927687],[31.40418142]
5,[113.1508434],[104.07090556],[43.12897078],[169.15553779],[126.60044223],[91.81930725],[94.92645401],[25.82497638],[360.96359444],[61.3175522],[207.30564568],[76.29999667],[147.21672716],[36.33962069],[15.484462],[34.14490438],[27.94302595],[76.29621631],[90.6192989],[51.24749018],[215.17765286],[62.67862711],[74.18556532],[110.63987629],[197.27186468],[105.10879388],[33.82992875],[66.89068569],[95.35172838],[31.64671419]
6,[114.19327749],[105.15015365],[42.93802125],[168.85373588],[127.22024704],[91.8868845],[96.67889838],[25.90326091],[365.89591356],[61.12386776],[207.8399705],[76.23741238],[147.11134242],[36.71955762],[15.7130058],[34.10681034],[27.9985598],[76.53880377],[92.05551826],[52.06298582],[216.06808159],[62.68080676],[74.25454581],[111.23551723],[198.76505579],[105.36377958],[33.76483603],[67.69217095],[96.11143763],[31.69544711]
7,[115.38967143],[105.41576017],[43.39419787],[169.19933559],[127.3954641],[91.71343566],[96.55076403],[26.04967247],[368.6773059],[61.26299675],[208.52530471],[76.35809308],[148.03847235],[36.87975995],[15.71013399],[34.20056905],[28.06198227],[76.86069144],[91.39574647],[52.37363042],[215.28818554],[62.66867231],[74.10774806],[112.03602858],[198.58017579],[105.73675264],[33.85244895],[67.96530302],[96.10758958],[31.94295561]
8,[114.9976346],[106.41155332],[43.35202305],[168.23276145],[126.18888873],[91.56565989],[96.09862649],[26.04447006],[367.95201432],[61.06879551],[207.62995954],[76.2926294],[146.95624787],[36.66718255],[15.47887884],[34.08374226],[28.05560829],[76.70625362],[92.05767561],[52.7491648],[214.12888388],[62.42815108],[74.08804286],[111.72195644],[197.20473865],[104.53344742],[33.72454891],[68.74381502],[95.43480419],[31.47420907]
9,[115.59537395],[106.8392285],[43.41053036],[168.00507709],[125.94558894],[94.95915107],[95.6663976],[25.85497078],[369.78678811],[61.04895016],[206.68653856],[74.79653153],[147.45612404],[35.77581458],[15.46186934],[33.98121104],[28.01122822],[76.61847145],[92.33893872],[52.41554686],[211.01123507],[61.92768107],[73.79416247],[113.47663153],[196.58664095],[103.65274072],[33.7277335],[68.39881675],[95.03238258],[31.2875805]
10,[116.77970819],[106.89217477],[42.98563223],[168.28191415],[126.2350805],[95.44902555],[96.08758838],[25.96412479],[372.08315651],[60.73130791],[205.46725105],[75.05687074],[148.06452055],[36.06309082],[15.55041689],[34.22969747],[27.90163299],[76.99192185],[92.71825561],[52.89041991],[211.52018561],[62.34617135],[74.18681306],[115.28234919],[197.13007916],[101.84503864],[33.61184578],[68.95855073],[94.81892649],[31.10088978]
11,[116.95935287],[107.39046126],[42.94501887],[166.98990797],[125.44407449],[93.98417162],[97.00860287],[26.02464904],[373.30672734],[60.4234268],[204.74984875],[75.2995368],[147.99434793],[35.51423571],[15.38935072],[34.25261932],[27.68195488],[76.54747446],[92.83426679],[52.63818031],[212.52993614],[62.2969351],[73.68664255],[115.33001473],[197.39917739],[100.55229245],[33.55721004],[68.82654424],[94.26143563],[31.12849673]
12,[115.64591748],[106.2909943],[43.17152849],[169.11520337],[123.03929423],[92.14883077],[96.59075779],[25.48985874],[367.94051289],[61.16313985],[207.47817953],[76.41273518],[146.36155674],[35.00495629],[14.97446228],[34.02690381],[27.26972033],[74.76183496],[92.60478111],[52.14505327],[213.36053286],[61.31974749],[72.81827557],[115.05983259],[188.5968691],[98.77469752],[34.25978595],[68.06705633],[93.16221497],[30.1806662]
13,[115.35909324],[105.19814262],[42.06177503],[165.89575722],[119.97631056],[90.79190848],[91.89579842],[25.39984667],[351.56656628],[59.88948192],[205.97298095],[70.39800453],[143.35315403],[33.94662302],[14.88851627],[32.76317256],[26.43231826],[72.61340832],[89.86833593],[50.99605239],[201.83555314],[58.96915163],[70.76687994],[114.47648331],[182.90928114],[96.7621565],[33.55676108],[66.40863681],[91.75480404],[30.48418052]
14,[116.21881374],[104.83180423],[42.92474183],[167.42499617],[119.19233827],[91.26243902],[92.79721125],[25.41303741],[356.04306736],[60.20192548],[209.19100486],[71.87293732],[143.91430945],[34.07330718],[15.02315513],[32.77316138],[26.29677653],[70.58341496],[90.34991821],[51.10672765],[207.553593],[58.48021848],[71.10849528],[113.69311889],[183.05936061],[95.69871694],[33.88097488],[66.83768947],[91.2090374],[29.92273315]
15,[117.33764815],[107.84315606],[44.17178067],[171.14155994],[120.70316376],[91.15771538],[93.41200242],[26.17736645],[358.92089426],[61.7238612],[214.10328753],[73.07168808],[145.29111437],[34.2127759],[15.52075578],[33.70393338],[26.59514187],[70.73292721],[92.9387259],[52.14476597],[214.3877603],[59.21367552],[72.12059807],[113.23465634],[186.35115806],[98.12222759],[34.97701643],[67.67519021],[92.79433745],[29.89849439]
16,[115.29730118],[107.47063711],[43.6244927],[169.50888188],[117.31808818],[90.0397679],[89.88906516],[25.39122133],[348.86700145],[60.82222702],[213.57991567],[71.60559438],[142.13462515],[30.10261104],[15.21490597],[33.17042091],[25.87951989],[68.50582277],[92.31062115],[50.76645081],[205.51177784],[57.61755046],[70.39768643],[110.92186399],[182.94957461],[96.87344221],[34.74164602],[65.0328445],[90.62633447],[29.32366351]
17,[112.82442318],[104.72783381],[43.95410096],[169.518525],[114.54212422],[87.69591134],[88.26532852],[24.90923644],[347.04098866],[60.79531198],[215.36680973],[71.42376843],[140.58234989],[28.96711602],[15.21871311],[32.16408658],[25.24487716],[67.035411],[92.56417528],[49.91490116],[205.13997732],[56.58902686],[68.82287058],[107.34805417],[179.18497364],[95.47016861],[34.47771147],[63.28270542],[87.79791694],[28.73248942]
18,[113.19264742],[102.37184468],[43.74062204],[170.64014438],[114.18077624],[87.5855898],[88.63974489],[24.72260425],[339.26351301],[61.32417582],[218.54510777],[70.32540203],[137.42137245],[28.33640626],[14.79064063],[32.09405281],[24.96409451],[67.02481126],[93.74506168],[49.24405581],[204.04788523],[56.42729534],[69.52508903],[107.82007598],[179.3262514],[94.11723222],[34.41351753],[61.80574641],[86.6605812],[28.61067036]
19,[113.33624904],[103.05906982],[44.42359304],[171.75392562],[116.25163173],[87.91852837],[91.01892541],[24.74407185],[341.62358604],[61.6542318],[220.46839911],[71.79425381],[138.66348634],[29.44068685],[15.2047858],[32.36456929],[25.06714572],[67.47238793],[94.287501],[49.39901011],[205.52924248],[57.4413034],[69.37667106],[106.27499208],[180.6557995],[96.13947194],[34.58066358],[63.35819835],[88.2868511],[28.60325446]
20,[115.17165536],[106.05288983],[44.19681488],[170.79241715],[118.01315444],[89.22769596],[93.38976938],[25.0800013],[351.1278252],[61.54338005],[220.11230469],[74.15202855],[141.51948017],[30.29701326],[15.74641913],[33.28283933],[25.48195487],[69.27435357],[93.96993568],[50.77021361],[211.68485928],[58.44571515],[70.06068128],[107.97154422],[181.81350868],[98.53669045],[34.68147595],[64.06537013],[89.32109733],[29.31618816]
21,[115.92411239],[107.0600025],[44.93488462],[172.91566682],[117.9746641],[89.85158575],[94.9521291],[25.49532967],[356.69236454],[62.52953316],[222.87963435],[75.68493905],[142.18407711],[29.66806909],[15.963919],[33.75893263],[26.01309441],[68.43054507],[95.32969192],[50.98506298],[216.6183537],[58.97956292],[70.26078646],[109.05238485],[183.04453106],[98.13270186],[35.13514992],[62.9429655],[89.27622961],[29.38078732]
22,[109.57458978],[109.10260258],[43.45835908],[169.52027894],[117.71333314],[85.6993861],[90.99795523],[24.67892778],[347.33894901],[61.30308947],[217.12909156],[76.13086788],[138.91497807],[28.73615655],[16.06870515],[32.81464938],[25.49877787],[67.7999636],[93.74544902],[48.58049233],[217.55616571],[55.46596835],[68.72040767],[103.83173361],[180.78622339],[99.3895985],[34.46558062],[60.52845368],[90.35102288],[29.73583954]
23,[105.29495629],[105.97474639],[42.23647026],[166.67176167],[122.250333],[82.45205449],[88.26556203],[23.63161948],[330.04006861],[60.0893873],[213.54467475],[73.35868612],[137.09090617],[27.81726025],[16.03957688],[31.45530751],[25.67957908],[69.47368523],[91.48275243],[47.10029038],[214.78718034],[54.32916563],[68.20707294],[99.41601247],[182.24396775],[101.81015595],[33.64907856],[57.96300165],[92.48023971],[29.15381448]
24,[105.9911287],[104.67528372],[41.98047572],[167.63667941],[122.33134949],[82.16747478],[88.05116519],[23.44059906],[326.08734915],[60.18305711],[215.32830148],[73.72920361],[137.72614587],[28.06789082],[16.51082791],[31.49743034],[25.56075618],[69.77565393],[91.71509225],[46.47539341],[214.40024501],[54.36988673],[68.68251011],[98.61117992],[182.90891242],[103.69647178],[34.06043728],[58.82128922],[95.19497938],[28.66701197]
25,[103.31324827],[106.20789567],[42.92964361],[171.25691632],[126.02688749],[82.43077363],[90.39116835],[23.73700881],[332.75684411],[61.10081572],[220.38990373],[74.86327129],[139.19912022],[29.4946065],[17.44766897],[31.61737897],[26.18709371],[72.10796074],[92.82350427],[47.96498436],[216.76663193],[55.76117351],[69.92305933],[97.44024682],[185.64959895],[107.44585626],[35.00439473],[60.85049417],[98.3882875],[29.78252835]
26,[103.16563507],[106.91672936],[40.92488395],[165.40205752],[124.29589561],[82.83586639],[90.62196438],[23.85793933],[338.17292593],[59.28328951],[214.78842735],[73.58023133],[137.89100597],[29.40216467],[17.0566011],[31.80541436],[26.06944384],[70.56810438],[89.92912245],[47.81020505],[212.12210192],[55.42605253],[66.89520354],[97.36388659],[184.18795934],[106.24758117],[33.76083],[60.41978266],[96.35139597],[30.29182601]
27,[105.32922964],[106.81340777],[40.78169578],[166.67698885],[122.86736806],[85.17188319],[88.97765476],[23.92970301],[335.88756339],[59.92910699],[215.20176196],[71.76507093],[138.09427758],[29.31162587],[16.93306287],[32.29092688],[26.14947763],[69.75767487],[90.99106938],[48.05661762],[208.06270807],[56.14955421],[66.94281597],[99.43855402],[182.9346784],[104.24870252],[33.90871821],[60.46505329],[95.2226466],[30.1340184]
28,[105.93238233],[107.19253349],[40.4042228],[164.27530604],[121.66972893],[85.2459016],[87.48618093],[23.70776651],[330.41273824],[59.07106969],[212.9196044],[70.34584807],[137.36020278],[28.70581527],[16.67066076],[32.01082891],[25.61194359],[69.32170264],[89.6361777],[47.94405923],[204.57678668],[54.78459177],[65.41288091],[101.09317414],[180.78026366],[104.51595509],[33.3252986],[59.69074996],[95.50099287],[30.10725885]
