,Conagra_Brands_predictions,Kimberly_Clark_predictions,MetLife_predictions,Raymond_James_Financial_predictions,Flowserve_Corporation_predictions,TripAdvisor_predictions,TwentyFirst_Century_Fox_A_predictions,TwentyFirst_Century_Fox_B_predictions,Verizon_Communications_predictions,Viacom_predictions,The_Walt_Disney_predictions
0,[47.40454632],[122.17312526],[47.55115506],[58.96444786],[46.17578672],[64.60646139],[24.70200141],[24.99918104],[50.19221339],[36.16280801],[92.51437536]
1,[46.99745948],[121.38494581],[47.22162875],[58.29636796],[44.90001518],[63.4801041],[24.62229481],[24.81099593],[49.84866896],[35.65043459],[91.87027367]
2,[47.23235665],[121.91248134],[47.47871335],[58.11745841],[44.57805876],[62.88842775],[24.55635124],[24.77605729],[50.30794665],[35.06918606],[91.4276818]
3,[46.92877059],[121.70837385],[46.62913208],[57.38965681],[43.67221258],[62.16505841],[24.52763539],[24.72402783],[50.26257368],[35.80549646],[91.18049434]
4,[47.58307623],[120.58764814],[46.89500447],[58.23102431],[43.42819601],[61.29022882],[24.71323346],[24.84654168],[50.30505437],[35.89734958],[91.37302993]
5,[47.5037803],[120.62338829],[46.65325144],[58.04028765],[43.12315448],[61.38096757],[24.66836914],[24.78091058],[50.4004426],[36.06629271],[90.9110538]
6,[48.37768672],[120.6019598],[46.80128155],[58.52243472],[42.95192522],[63.20435091],[24.95698913],[25.0581609],[50.29475421],[36.05773794],[91.24821289]
7,[47.85290649],[120.30863929],[46.86965481],[58.9659123],[44.52992196],[63.87947111],[25.09603868],[25.29000375],[50.38055838],[36.29046554],[91.98437815]
8,[47.50602028],[119.16904364],[46.66789866],[58.83363753],[43.722966],[61.92066206],[25.26682344],[25.35496056],[49.1543173],[36.41757349],[92.04979921]
9,[48.01455465],[119.58907852],[46.37056643],[58.76400593],[43.52907035],[62.88169592],[25.81852005],[25.8854666],[48.22743223],[37.49350757],[93.07363908]
10,[47.76967529],[114.22135164],[46.63773408],[58.78195482],[43.28870123],[63.92665294],[25.54133458],[25.63478491],[48.20393528],[37.31882524],[93.32614149]
11,[47.83663997],[113.72368448],[46.2611871],[58.55825239],[43.13443712],[63.55342462],[25.55757486],[25.71624567],[47.89085674],[37.38613284],[92.68322215]
12,[48.04653014],[113.52203569],[46.92717538],[59.14625739],[43.76353123],[61.59123445],[26.36340367],[26.45573409],[47.59513223],[37.65969582],[93.47741162]
13,[47.51726234],[114.18316213],[47.69945307],[61.9661023],[43.48072655],[61.81527949],[26.09105139],[26.22623245],[48.48649787],[37.61392233],[93.97582319]
14,[48.07785208],[114.2612015],[46.9264386],[60.82723492],[42.10745532],[64.42428126],[26.27749034],[26.2686665],[48.22195077],[37.53683831],[93.8609045]
