,Unnamed: 0,Date,Gold_Open,Gold_Close,Platinum_Open,Platinum_Close,Palladium_Open,Palladium_Close,SMA_Gold,upper_band_Gold,lower_band_Gold,DIF_Gold,MACD_Gold,RSI_Gold,STDEV_Gold,Open_Close_Gold,SMA_Platinum,upper_band_Platinum,lower_band_Platinum,DIF_Platinum,MACD_Platinum,RSI_Platinum,STDEV_Platinum,Open_Close_Platinum,SMA_Palladium,upper_band_Palladium,lower_band_Palladium,DIF_Palladium,MACD_Palladium,RSI_Palladium,STDEV_Palladium,Open_Close_Palladium
0,0,2013-12-31,1201.5,,1358.0,,711.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2014-01-02,1219.75,1225.0,1387.0,1388.0,723.0,723.0,,,,,,,,-5.25,,,,,,,,-1.0,,,,,,,,0.0
2,2,2014-01-03,1232.25,1234.5,1407.0,1404.0,730.0,728.0,,,,,,100.0,,-2.25,,,,,,100.0,,3.0,,,,,,100.0,,2.0
3,3,2014-01-06,1238.0,1246.25,1400.0,1409.0,728.0,733.0,,,,,,100.0,,-8.25,,,,,,100.0,,-9.0,,,,,,100.0,,-5.0
4,4,2014-01-07,1237.5,1227.5,1409.0,1414.0,736.0,737.0,,,,,,87.812804679883,,10.0,,,,,,100.0,,-5.0,,,,,,100.0,,-1.0
5,5,2014-01-08,1226.5,1221.0,1406.0,1405.0,735.0,735.0,,,,,,84.00994936483966,9.911483239152453,5.5,,,,,,95.7776434037407,9.772410142846052,1.0,,,,,,97.18574108818011,5.674504383644443,0.0
6,6,2014-01-09,1226.0,1226.0,1414.0,1415.0,737.0,736.0,,,,,,84.56099936896149,9.773049677557154,0.0,,,,,,95.9797270468649,5.029910535983756,-1.0,,,,,,97.22753977160208,3.5637059362410928,1.0
7,7,2014-01-10,1232.25,1244.25,1421.0,1425.0,736.0,737.0,,,,,,86.39461422628575,11.460530092452094,-12.0,,,,,,96.17582679318458,7.536577472566735,-4.0,,,,,,97.27096783176538,1.6733200530680297,-1.0
8,8,2014-01-13,1246.0,1248.0,1434.0,1436.0,740.0,740.0,,,,,,86.74128870461992,11.981235328629515,-2.0,,,,,,96.38371961582719,11.853269591129612,-2.0,,,,,,97.40178497876957,1.8708286933868623,0.0
9,9,2014-01-14,1248.75,1251.5,1429.0,1433.0,736.0,737.0,,,,,,87.07073516189381,13.73135098961497,-2.75,,,,,,94.87658249310272,12.853015210447555,-4.0,,,,,,92.6436693716535,1.8708286933868623,-1.0
