,Date,Activision_Blizzard_Open,Activision_Blizzard_Close,CBS_Open,CBS_Close,CenturyLink_Open,CenturyLink_Close,ATT_Open,ATT_Close,Alphabet_Inc_Class_A_Open,Alphabet_Inc_Class_A_Close,Comcast_Open,Comcast_Close,Discovery_Class_A_Open,Discovery_Class_A_Close,Discovery_Class_C_Open,Discovery_Class_C_Close,Dish_Open,Dish_Close,Electronic_Arts_Open,Electronic_Arts_Close,Facebook_Open,Facebook_Close,Interpublic_Group_Open,Interpublic_Group_Close,Netflix_Open,Netflix_Close,News_Corp_Class_A_Open,News_Corp_Class_A_Close,News_Corp_Class_B_Open,News_Corp_Class_B_Close,Omnicom_Group_Open,Omnicom_Group_Close,Take_Two_Interactive_Open,Take_Two_Interactive_Close,Twitter_Open,Twitter_Close,TripAdvisor_Open,TripAdvisor_Close,TwentyFirst_Century_Fox_A_Open,TwentyFirst_Century_Fox_A_Close,TwentyFirst_Century_Fox_B_Open,TwentyFirst_Century_Fox_B_Close,Verizon_Communications_Open,Verizon_Communications_Close,Viacom_Open,Viacom_Close,The_Walt_Disney_Open,The_Walt_Disney_Close
0,2013-12-31,17.8,17.83,63.66,63.74,31.94,31.85,35.17,35.16,1112.24,1120.71,51.88,51.965,90.76,90.42,83.48,83.86,58.01,57.92,23.0,22.94,54.12,54.649,17.6,17.7,365.5,368.17,17.98,18.02,17.63,17.83,74.0,74.37,17.41,17.37,62.36,63.65,81.84,82.83,35.0,35.17,34.59,34.6,49.0,49.14,87.27,87.34,76.28,76.4
1,2014-01-02,17.91,18.07,63.25,63.25,31.74,31.65,35.24,34.95,1115.46,1113.12,51.8,51.45,90.21,89.1,83.22,82.52,57.99,57.75,22.9,22.83,54.83,54.71,17.6,17.6,366.81,362.82,18.05,17.95,17.84,17.89,74.52,74.0,17.27,17.53,65.0,67.5,82.48,80.48,35.47,35.63,34.58,35.04,49.08,49.0,87.45,86.95,76.04,76.27
2,2014-01-03,17.8,18.29,63.19,63.14,31.78,31.6,35.15,34.8,1115.0,1105.0,51.63,51.07,89.1,88.58,82.83,82.12,57.84,57.8,22.88,22.68,55.02,54.557,17.66,17.62,364.0,363.1,17.93,17.82,17.95,17.73,73.78,73.78,17.5,17.63,69.0,69.0,80.5,80.92,35.5,35.2,35.08,34.66,49.33,48.42,86.89,86.6,76.3,76.11
3,2014-01-06,18.38,18.08,63.71,63.01,31.73,31.67,35.01,34.96,1113.01,1117.32,51.13,51.02,88.96,87.47,82.2,80.73,58.07,57.86,22.81,22.53,54.42,57.2,17.71,17.37,363.23,359.57,17.88,17.58,17.82,17.55,72.6,72.0,17.67,17.6,64.83,66.29,80.82,80.38,35.31,34.8,34.47,34.27,48.77,48.69,87.13,85.73,76.53,75.82
4,2014-01-07,18.2,18.315,63.29,63.38,31.76,31.41,35.13,34.95,1125.0,1138.86,51.34,52.83,86.96,86.94,80.77,79.98,57.83,56.93,22.68,23.1,57.7,57.92,17.45,17.5,347.79,339.5,17.65,17.4,17.51,17.32,72.49,72.75,17.64,18.11,67.67,61.46,80.03,84.91,34.97,34.97,34.29,34.37,49.12,49.3,86.16,86.33,76.12,76.34
5,2014-01-08,18.32,18.34,63.22,62.74,31.35,31.24,34.45,34.24,1146.0,1141.23,52.69,52.75,87.0,84.61,80.13,78.14,57.49,57.96,23.14,23.31,57.6,58.23,17.46,17.52,336.73,340.99,17.35,17.29,17.26,17.24,72.04,71.51,17.95,17.8,58.71,59.29,84.76,85.15,34.86,34.39,34.49,33.8,48.69,48.5,86.19,86.67,76.13,75.22
6,2014-01-09,18.41,18.3,63.0,62.49,31.25,30.79,34.24,33.54,1143.44,1130.24,52.9,52.88,85.04,84.73,78.32,78.44,57.55,56.48,23.42,22.75,58.65,57.22,17.53,17.4,341.77,337.05,17.38,17.34,17.33,17.3,72.64,72.24,17.91,17.67,59.54,57.05,85.72,85.17,33.97,33.5,32.57,32.59,48.43,47.5,87.07,86.0,75.46,74.9
7,2014-01-10,18.38,18.18,62.5,62.99,31.05,31.02,33.74,33.62,1139.08,1130.18,53.02,53.54,85.01,84.02,78.42,77.55,56.77,57.21,22.79,23.01,57.13,57.94,17.45,17.63,338.07,332.14,17.41,17.4,17.28,17.34,73.93,73.22,17.66,17.64,57.5,57.0,85.4,86.8,33.4,33.46,32.5,32.84,47.84,47.75,85.97,85.4,75.08,75.39
8,2014-01-13,18.02,17.87,62.49,60.94,30.99,30.87,33.59,33.3,1126.47,1122.98,53.51,52.16,83.52,81.44,77.17,75.21,57.11,55.95,23.01,22.38,57.91,55.91,17.56,17.41,331.13,336.81,17.41,17.15,17.28,17.08,72.55,71.51,17.61,17.46,59.98,57.82,86.43,84.45,33.22,32.35,32.51,31.93,47.65,47.03,85.34,84.42,74.9,73.27
9,2014-01-14,17.78,17.49,61.55,60.65,30.95,30.69,33.33,33.48,1137.95,1149.4,52.53,52.81,81.44,82.64,75.21,75.72,56.28,56.11,22.6,22.46,56.46,57.74,17.44,17.74,341.44,337.96,17.2,17.3,17.08,17.24,72.71,73.91,17.35,17.17,58.88,58.21,82.87,84.31,32.35,32.3,31.88,31.83,47.04,47.08,84.46,84.63,73.71,74.45
