,Activision_Blizzard_final_fft,Activision_Blizzard_fft_absolute,Activision_Blizzard_fft_angle,ATT_final_fft,ATT_fft_absolute,ATT_fft_angle,CBS_final_fft,CBS_fft_absolute,CBS_fft_angle,CenturyLink_final_fft,CenturyLink_fft_absolute,CenturyLink_fft_angle,Comcast_final_fft,Comcast_fft_absolute,Comcast_fft_angle,Discovery_Class_A_final_fft,Discovery_Class_A_fft_absolute,Discovery_Class_A_fft_angle,Dish_final_fft,Dish_fft_absolute,Dish_fft_angle,Electronic_Arts_final_fft,Electronic_Arts_fft_absolute,Electronic_Arts_fft_angle,Interpublic_Group_final_fft,Interpublic_Group_fft_absolute,Interpublic_Group_fft_angle,Netflix_final_fft,Netflix_fft_absolute,Netflix_fft_angle,Omnicom_Group_final_fft,Omnicom_Group_fft_absolute,Omnicom_Group_fft_angle,Take_Two_Interactive_final_fft,Take_Two_Interactive_fft_absolute,Take_Two_Interactive_fft_angle,TwentyFirst_Century_Fox_A_final_fft,TwentyFirst_Century_Fox_A_fft_absolute,TwentyFirst_Century_Fox_A_fft_angle,TwentyFirst_Century_Fox_B_final_fft,TwentyFirst_Century_Fox_B_fft_absolute,TwentyFirst_Century_Fox_B_fft_angle,Verizon_Communications_final_fft,Verizon_Communications_fft_absolute,Verizon_Communications_fft_angle,Viacom_final_fft,Viacom_fft_absolute,Viacom_fft_angle,The_Walt_Disney_final_fft,The_Walt_Disney_fft_absolute,The_Walt_Disney_fft_angle
0,(26619.726599999998+0j),26619.726599999998,0.0,(56146.265700000025+0j),56146.265700000025,0.0,(43950.46+0j),43950.46,0.0,(65855.75000000001+0j),65855.75000000001,0.0,(44436.55950000002+0j),44436.55950000002,0.0,(65788.60670000002+0j),65788.60670000002,0.0,(50721.90149999999+0j),50721.90149999999,0.0,(48674.01009999999+0j),48674.01009999999,0.0,(17200.881+0j),17200.881,0.0,(168869.18889999998+0j),168869.18889999998,0.0,(88320.09999999999+0j),88320.09999999999,0.0,(25336.895600000014+0j),25336.895600000014,0.0,(32063.15099999999+0j),32063.15099999999,0.0,(33726.93999999999+0j),33726.93999999999,0.0,(65798.82600000003+0j),65798.82600000003,0.0,(71975.296+0j),71975.296,0.0,(66029.47739999999+0j),66029.47739999999,0.0
1,(3120.524355219728-4124.774857309812j),5172.179412492831,-0.9231278002726386,(5456.28278216917-424.3409663985506j),5472.758632971108,-0.07761484424249872,(12374.678385449075+6517.585897065792j),13986.12137330902,0.4847688038784649,(2750.1079823954633+1675.7664416521588j),3220.448273424491,0.547263006239489,(8961.185225576697+5062.217751665021j),10292.176116466651,0.5142144766041856,(7159.768028249681+15829.676900533266j),17373.5704158248,1.1460310949865904,(11009.131371351148+985.9954781599221j),11053.196851346665,0.08932328492399105,(9574.47242639377-11102.653654305252j),14660.81308833969,-0.8591708861445427,(2292.838990106+1759.141684579514j),2889.92908234364,0.6544392955208106,(-6131.64022132377+62981.402611305595j),63279.17577442935,1.6678468364448322,(16891.12041930505+1714.7236567230086j),16977.933509069633,0.10116969022206022,(3095.9819483853066-1609.055544956856j),3489.149462474212,-0.4793018662587645,(6655.81818842707+2845.9972813987356j),7238.757924058906,0.4040669242917894,(6169.583767797045+2642.6232644276884j),6711.72269879792,0.4046885492477637,(6449.963602185426+2419.6687153563275j),6888.891577140036,0.35889739604532,(10685.445773156238+9997.045863323472j),14632.828754702745,0.7521262598414374,(7542.969051165262+8053.2773739073555j),11034.113401987725,0.8181064391316046
2,(-1954.6264466419364-2571.890647832071j),3230.353858374985,-2.220664201727358,(-372.25585917252204-1849.3480979332492j),1886.441839023297,-1.769432264681924,(2717.561975624431-595.9200401422959j),2782.1329561332896,-0.2158680223582782,(1162.405414722689-3902.3195308792506j),4071.7667012315774,-1.281289744918553,(3123.447371361303+1390.950940414354j),3419.16188565318,0.4189598633218134,(5044.085721261001+6188.648943402705j),7983.86977023727,0.8869430274301948,(2190.039741897636-3555.9219722715334j),4176.224987231236,-1.0187783349438706,(-883.0529156126914-9790.377229299573j),9830.12048470209,-1.6607489279076786,(1164.3804238435914-946.2732538844011j),1500.404892836315,-0.6824273331028474,(21600.326882451704-13486.884033280527j),25465.077309050583,-0.5581557445222477,(9577.825513585582-6966.7512517430705j),11843.579044037091,-0.628868666165303,(-1163.3142373690916-2631.4349223064046j),2877.1078820925964,-1.9870475076431422,(2006.83679374884-249.00376002623702j),2022.225701857072,-0.12344681350904811,(2528.34565425512-432.63191047620126j),2565.093003645879,-0.16947134998336433,(-3.576062983253397+124.91631202086536j),124.96748871348254,1.5994161802988143,(3483.8420394862305-1095.2708929954204j),3651.954775888464,-0.30460208037269276,(3359.165022866357+1872.0163917731052j),3845.573432131537,0.5084200246905701
3,(-1483.255600204124+1396.166640081255j),2036.9900496597122,2.3864305624833264,(-1699.4910782818079+217.07722607239396j),1713.2987034486273,3.0145498558748067,(-327.68345344021606+1729.7544310112294j),1760.518911361502,1.7580170452813688,(-1623.4737921387323-837.3139920260236j),1826.680561839938,-2.6654209894116527,(1330.60277026758+1839.3670764703936j),2270.1927174244483,0.9445360312461402,(-1729.87392720584+7461.268091798328j),7659.176544623737,1.79861837403787,(-1411.748288244022-934.7105552389303j),1693.1382257320267,-2.556762188517443,(-400.46783947869693-2431.000583313345j),2463.765071293641,-1.7340637399317436,(212.997043885491+592.6958700112873j),629.8064266363075,1.2257986836744958,(35822.24977824751+36965.537441656335j),51475.0865713274,0.8011040077327757,(3890.6239453021785-4314.020474088484j),5809.279416124974,-0.8369569230693539,(135.83468914509666+890.2789074751033j),900.5818096487452,1.419388575607219,(-822.840202350042+1223.4622424653862j),1474.4239069351424,2.162861332637529,(-1072.9356847916558+968.6248078896436j),1445.4843486384032,2.407243797348825,(-679.7029584955847+1074.0553660445964j),1271.0590234591164,2.135012051701173,(57.079874020741215+3511.390437344172j),3511.8543414399064,1.554542125465181,(-864.0392605690438+4466.9279030558055j),4549.726226368268,1.7618669728434362
4,(1608.5083443729782+1628.4828849824908j),2288.942026482627,0.7915687970729628,(-938.2791766737171+446.0749367651206j),1038.9180249613125,2.697803211408895,(414.9912458081433+2948.46667290164j),2977.528078005153,1.4309666872627596,(-1586.184504755834-1270.245280212049j),2032.1181941581294,-2.4663530616931157,(801.0627732237995+258.99599213044394j),841.8910206105285,0.31270755144748963,(-585.1935641928831+6192.489502083064j),6220.078596045369,1.6650170508211986,(33.230973805623535+1731.4189579581616j),1731.7378281936897,1.5516057697397654,(1724.9601708675223+1406.421816551574j),2225.648201569947,0.6840223506974381,(221.3554787312159+285.9525503144916j),361.61735162418245,0.9120496377385542,(-2249.676997557879+29499.901771658606j),29585.558151416506,1.6469094965595839,(2717.40240830292-4111.2152957951j),4928.120032733588,-0.9867458405275163,(1572.652695068993+1313.0486124144888j),2048.7394070187115,0.6956774703203851,(132.98728359699896+1820.0334886450885j),1824.8856176177508,1.4978573584580364,(16.435351087061008+1750.0418185527724j),1750.118992368476,1.5614051981102084,(-1285.2438360293183+1673.7499906385508j),2110.2821491956724,2.2256445382992838,(742.7944931143268+5268.06139318229j),5320.170533106876,1.43072014614681,(356.5893444018682+2733.9121172589207j),2757.0693544842334,1.4410966267187708
5,(1389.325222575985-922.4922427527272j),1667.6979678661141,-0.586144333453061,(292.5793989992253-525.1631363543262j),601.1647232699708,-1.0625024000237924,(578.5260424384969+533.251987049051j),786.7973458720554,0.7446984435800664,(231.432408428509-1646.9369657895143j),1663.118254651482,-1.4311875443020392,(814.7021545283087-820.4404602046111j),1156.2275508453438,-0.7889075099632178,(593.9754758503555+4318.61797333879j),4359.273800251195,1.434115552116615,(-272.66147244773674-779.785280861614j),826.0807241461297,-1.9071702197745712,(1088.0480356665903-1847.3420925145401j),2143.9499375437676,-1.0385189778743429,(553.0968141806159-233.2588929576475j),600.2714361025135,-0.3990997792876453,(5058.655891318038+11770.862506285128j),12811.838414865982,1.1649001162674872,(2146.7134176176514-6432.360436711888j),6781.123747960659,-1.2486829720684387,(771.568571799319-1357.8207409324714j),1561.72828158257,-1.0540569201776098,(300.70070424162896+119.50516467191915j),323.57749908588227,0.37828224630737567,(249.57069892574054+38.88173219205123j),252.58131930239225,0.15455202727505626,(248.14709890534596+822.4902248217901j),859.1083474292043,1.277778626198572,(1720.23661073742+1137.2649795632751j),2062.1798250061565,0.5841455469663164,(1029.1895659477177+368.7408299651579j),1093.252469624032,0.3440344881891602
6,(-1172.327095971494-768.6031137909195j),1401.8208039824683,-2.561275575287974,(-233.2481948952217+263.59706083816974j),351.9774579492288,2.295187155444938,(-313.0126467132335+2111.5053379584056j),2134.579984266053,1.7179659946334909,(-1278.4018540557258+747.718848934836j),1481.0114035703957,2.612360811872887,(182.02192839214877+559.9553153578199j),588.7970258188063,1.2565055516513204,(-1203.9397630959902+3673.499089628952j),3865.755620143152,1.8875013092140223,(-661.5290072859566+789.8674551817186j),1030.2966680699242,2.2679997574554758,(-352.489824199278-1715.6258397475628j),1751.462559740735,-1.7734348437222562,(-355.94462823413846+543.9506728031298j),650.0606993286985,2.150236991037958,(6971.357564273729+17306.866130915594j),18658.1735859218,1.1878709386183257,(-2401.882614619811-2785.176571826709j),3677.8048657677964,-2.2824342767870607,(-1543.3956709998447-268.50128558606076j),1566.5768853211223,-2.969348604929865,(-303.55399620266223+647.2303337547231j),714.879104144789,2.009341591926688,(-410.99030319800033+645.3435968957397j),765.1022071443234,2.13787520927211,(-186.92845491874857+1613.7293686297032j),1624.5198436572978,1.6861186689032164,(280.83319780151254+2050.1970385057384j),2069.341726657326,1.4346648882419983,(-448.5855418635655+2903.3729967544946j),2937.822960399793,1.7240891694467264
7,(-588.8065044859219+971.5792617287894j),1136.0718998137352,2.115638102068974,(-350.3101651220811+454.8008065003913j),574.0740243045892,2.227131756870183,(-660.2102542558073+1616.0928621918956j),1745.747323942417,1.9586280053482683,(195.64821578709729+65.44241658354565j),206.30301555956208,0.32279139925064865,(-7.642850766756965+204.06779810446182j),204.2108699140335,1.6082313377305404,(-646.912510514177+3370.234245281631j),3431.7597037567766,1.7604385248411534,(-405.7924411749597+1472.5548373375184j),1527.444026562302,1.839692703415373,(373.01644126720646+250.350713093452j),449.2401863169091,0.5911013770349922,(-401.47906151451707+413.99178480568935j),576.6928426130999,2.3408515242567867,(-8045.540387832845+16015.897846068074j),17923.161103665207,2.0363198798767623,(-2921.184062391804-1827.4432145265737j),3445.7023999021017,-2.582574181326401,(-1132.5972048017113+383.269665527309j),1195.6889498686792,2.8152900246242045,(-440.93265335161277+494.89567918622055j),662.8297957008904,2.2985948933405425,(-486.4366748106549+414.2001916846283j),638.891569354636,2.4362291654155697,(-117.54528060887719+747.2415595098128j),756.4303280885006,1.7268233435415705,(-813.7777659470215+2001.1544023538004j),2160.29007182131,1.957025855588927,(-950.5435969488492+2012.2847808870106j),2225.4939157611598,2.0120968911175208
8,(709.158288460924+268.2854925085911j),758.2101183599467,0.36167413821263866,(-485.6345193792994+309.369279578842j),575.8039923097919,2.574381197205811,(285.9884161794462+585.3268331836239j),651.4575011722545,1.1163133761702169,(618.0836352850736-235.7931586627135j),661.5329121663951,-0.3644489687095498,(1048.0739692467407-334.1489452995483j),1100.05207270266,-0.3086339206076649,(10.43300871973679+2018.9305208983724j),2018.957477483347,1.5656287810346403,(1218.529130874656-147.46261403622475j),1227.4194333350522,-0.12043126642770068,(1660.4875528767877-1392.2356087383996j),2166.9192194214174,-0.6977502959654089,(322.593006311032+34.81673563121406j),324.4664124386427,0.10751158762353641,(-2608.5954185214487+1366.2192790171412j),2944.71139093277,2.6591358663116824,(-989.8710913236225-1269.2279387003912j),1609.5913573997168,-2.233160552748518,(668.3831412711261+85.08149286294565j),673.7765831217686,0.12661354565418986,(164.64093607724527+300.6629903102215j),342.78983586838734,1.0698030112784058,(233.93170853279776+322.85889542529344j),398.70027666445685,0.9437744335546213,(-141.53796976702756+774.8801691337032j),787.7006242237265,1.7514625351637478,(483.12723639889293+1280.1784991445015j),1368.3087795604838,1.2099315023475037,(449.8491120464341+779.8877356496306j),900.3272204180396,1.0476008589322077
9,(-102.54708714010484-807.7336454482686j),814.2171375438307,-1.6970773168234663,(77.71710087386714-171.43175403862622j),188.22538102232355,-1.1451672178229626,(431.62813129298934+773.3550790856489j),885.6528225388594,1.0617371836874858,(-403.8192905583678-796.300002309351j),892.8402506075406,-2.040123332365267,(501.5362243691991-205.9228100551855j),542.1649085430886,-0.3895971896725018,(347.9186384964663+1540.0526428000644j),1578.8633638186357,1.3486125996025553,(303.9402351222258-35.30283175068527j),305.9835885399266,-0.11563243096340357,(-339.10628189507145-1847.1629793936834j),1878.031986645395,-1.7523568846495474,(32.76161733499372+64.17028775364399j),72.04963151043891,1.098750848794564,(9121.256684914812+5663.396996998498j),10736.451418309252,0.5556462565548029,(-1566.1999911368662-575.8235451154745j),1668.6986448566659,-2.78927564675916,(278.60412568531035+240.8930544567185j),368.3065605366863,0.7129337853003012,(-279.1086968057064+277.0813963042999j),393.28839902865207,2.3598394517773253,(-257.1416747877455+261.1293310309743j),366.48379014266214,2.348500489348145,(-409.6398647887635-25.10588170640237j),410.4084844644568,-3.0803815253875753,(312.32609475170074+1791.8344195668303j),1818.8507845909867,1.3982248732989415,(-685.9956840209934+1080.1653366383762j),1279.588696796954,2.1366141908787317
