,Altria_Group_final_fft,Altria_Group_fft_absolute,Altria_Group_fft_angle,Archer_Daniels_Midland_Co_final_fft,Archer_Daniels_Midland_Co_fft_absolute,Archer_Daniels_Midland_Co_fft_angle,Brown_Forman_final_fft,Brown_Forman_fft_absolute,Brown_Forman_fft_angle,Campbell_Soup_final_fft,Campbell_Soup_fft_absolute,Campbell_Soup_fft_angle,Church_Dwight_final_fft,Church_Dwight_fft_absolute,Church_Dwight_fft_angle,The_Clorox_Company_final_fft,The_Clorox_Company_fft_absolute,The_Clorox_Company_fft_angle,Coca_Cola_Company_final_fft,Coca_Cola_Company_fft_absolute,Coca_Cola_Company_fft_angle,Colgate_Palmolive_final_fft,Colgate_Palmolive_fft_absolute,Colgate_Palmolive_fft_angle,Conagra_Brands_final_fft,Conagra_Brands_fft_absolute,Conagra_Brands_fft_angle,Constellation_Brands_final_fft,Constellation_Brands_fft_absolute,Constellation_Brands_fft_angle,Costco_Wholesale_final_fft,Costco_Wholesale_fft_absolute,Costco_Wholesale_fft_angle,Coty_final_fft,Coty_fft_absolute,Coty_fft_angle,General_Mills_final_fft,General_Mills_fft_absolute,General_Mills_fft_angle,The_Hershey_Company_final_fft,The_Hershey_Company_fft_absolute,The_Hershey_Company_fft_angle,Hormel_Foods_final_fft,Hormel_Foods_fft_absolute,Hormel_Foods_fft_angle,JM_Smucker_final_fft,JM_Smucker_fft_absolute,JM_Smucker_fft_angle,Kellogg_final_fft,Kellogg_fft_absolute,Kellogg_fft_angle,Kimberly_Clark_final_fft,Kimberly_Clark_fft_absolute,Kimberly_Clark_fft_angle,Kroger_final_fft,Kroger_fft_absolute,Kroger_fft_angle,McCormick_final_fft,McCormick_fft_absolute,McCormick_fft_angle,Molson_Coors_Brewing_Company_final_fft,Molson_Coors_Brewing_Company_fft_absolute,Molson_Coors_Brewing_Company_fft_angle,Mondelez_International_final_fft,Mondelez_International_fft_absolute,Mondelez_International_fft_angle,Monster_Beverage_final_fft,Monster_Beverage_fft_absolute,Monster_Beverage_fft_angle,PepsiCo_final_fft,PepsiCo_fft_absolute,PepsiCo_fft_angle,Philip_Morris_International_final_fft,Philip_Morris_International_fft_absolute,Philip_Morris_International_fft_angle,Procter_Gamble_final_fft,Procter_Gamble_fft_absolute,Procter_Gamble_fft_angle,Sysco_final_fft,Sysco_fft_absolute,Sysco_fft_angle,Tyson_Foods_final_fft,Tyson_Foods_fft_absolute,Tyson_Foods_fft_angle,Walmart_final_fft,Walmart_fft_absolute,Walmart_fft_angle,Walgreens_Boots_Alliance_final_fft,Walgreens_Boots_Alliance_fft_absolute,Walgreens_Boots_Alliance_fft_angle
0,(61428.955000000016+0j),61428.955000000016,0.0,(46478.08+0j),46478.08,0.0,(83253.53000000001+0j),83253.53000000001,0.0,(54209.33000000001+0j),54209.33000000001,0.0,(73595.98999999999+0j),73595.98999999999,0.0,(124535.41990000001+0j),124535.41990000001,0.0,(45259.164999999986+0j),45259.164999999986,0.0,(73319.46999999999+0j),73319.46999999999,0.0,(40499.30499999999+0j),40499.30499999999,0.0,(150837.77+0j),150837.77,0.0,(159197.11640000003+0j),159197.11640000003,0.0,(22735.21+0j),22735.21,0.0,(60401.829999999994+0j),60401.829999999994,0.0,(105802.59999999999+0j),105802.59999999999,0.0,(48696.09999999999+0j),48696.09999999999,0.0,(125288.15+0j),125288.15,0.0,(73085.81+0j),73085.81,0.0,(125282.3+0j),125282.3,0.0,(43410.01500000001+0j),43410.01500000001,0.0,(92213.97499999999+0j),92213.97499999999,0.0,(88141.89999999998+0j),88141.89999999998,0.0,(43437.2142+0j),43437.2142,0.0,(104015.85000000002+0j),104015.85000000002,0.0,(107489.30000000002+0j),107489.30000000002,0.0,(99895.81+0j),99895.81,0.0,(88896.54999999999+0j),88896.54999999999,0.0,(48317.17999999999+0j),48317.17999999999,0.0,(58162.56000000001+0j),58162.56000000001,0.0,(80434.6+0j),80434.6,0.0,(82485.63249999999+0j),82485.63249999999,0.0
1,(-2066.78475632198+6513.039183725605j),6833.101685011719,1.8780756925781994,(558.0387377097773-1518.103491309664j),1617.4193776232905,-1.2185384044468317,(-6209.600405538316-12522.297424636694j),13977.377078247706,-2.0311452989635055,(-3188.9582922294617+3482.563366917209j),4722.044323613743,2.312214156849944,(-8599.095633833305-7134.797136840733j),11173.619641981812,-2.448993693825084,(-3436.5320480873193+9100.343355933264j),9727.58971757187,1.9318678103090978,(25.908673118219117+799.003338162474j),799.423288213149,1.538381445713911,(172.14212122135504+1559.5805730146083j),1569.0520939800442,1.4608641347545777,(-3048.5013612013495+1307.1495270776682j),3316.9263536270823,2.7365210401631206,(699.6252914969917+23457.064901723472j),23467.496017942976,1.5409793847275728,(-2088.576351880831+9016.5237571818j),9255.260765719118,1.7984205784426892,(-3137.1889604224393-373.7076624203967j),3159.368922799005,-3.023029529836883,(-2469.5639745801236+2073.0996945585875j),3224.35862895598,2.4432496311174616,(2888.501507946437+2929.438966708279j),4114.007003041889,0.7924344648755606,(-3857.994150101338-6563.055034079377j),7613.002708693252,-2.102223029887345,(-5760.559671620656+7121.571704965964j),9159.739694951713,2.2509338238532224,(-2450.193550053084+2560.7537134755144j),3544.137132476729,2.3341343442110793,(-2750.7292606957517+4471.410329148157j),5249.763975386001,2.1223040282784655,(-1795.727286241007-9157.984657696137j),9332.380161413717,-1.7644229484225062,(-1526.3902527639234+7916.623429159278j),8062.431005772783,1.7612672691220224,(-5422.719356191865+7153.666864999153j),8976.682841195,2.219419101104063,(-1159.2885140868914+1837.711973357936j),2172.817331465513,2.1335788388872,(-24101.43186089088-11352.714414917564j),26641.380263264196,-2.701381093423174,(-45.13218398536937+5307.587930349623j),5307.779813860432,1.5792994541738434,(1810.518513398274+7240.132774259418j),7463.075765142899,1.3257545758190419,(1291.5820631428546+1855.048333259174j),2260.395661064671,0.9625898850384514,(786.8587178514392+4884.362083176025j),4947.336616951232,1.411071103557361,(-464.795727279683+8621.990800790241j),8634.509855053093,1.624652364837322,(4813.356327905382-554.1785300129137j),4845.153556133599,-0.11462877596910935,(-4442.577706829537+1419.7395024646598j),4663.9207686320515,2.8322747211578294
2,(-1348.3825145635049+2489.5073761294025j),2831.2157073213803,2.067187822057285,(-2206.5767042375955-186.33072096215207j),2214.4299242148813,-3.057349165614754,(5710.919308460648-1378.7101059694442j),5874.9843322387605,-0.23688389529467557,(-123.72756445312807-819.3547791270785j),828.6439309401153,-1.720670083486136,(3313.835394065061-1635.9121352012355j),3695.634388444967,-0.4585637655736378,(1002.9880481966932+5223.161871400098j),5318.590504980919,1.3810787452727653,(214.6941980784766+305.6533610733407j),373.5205159345202,0.9584542598102709,(-489.7048737035689+369.5550989367061j),613.4996613521046,2.4951230711092824,(196.6787207390158+0.8034015224797884j),196.68036161635987,0.004084819399901929,(4150.338408533627+13644.326529124766j),14261.59021072781,1.2755086147990837,(-394.60430916387367+6573.324998201007j),6585.158623206047,1.630755527729767,(641.0646392739391+608.4833786816964j),883.864182925928,0.7593296335026215,(-137.0404996110149-946.6918334724705j),956.5592120183175,-1.7145549819970158,(-1692.0616770705917+735.2146258715297j),1844.888415353719,2.7316961424392847,(1265.5092569567132+1477.9538847902368j),1945.7290060565178,0.8626805984934736,(-416.5624700868794-1131.9202529805484j),1206.1375338627147,-1.9234282391682562,(71.54744690688082-1433.549333432285j),1435.3336645334568,-1.520928403098737,(521.7939095241187-347.7234373504485j),627.0410456256236,-0.58781793364754,(-4060.298097297836-1020.5252138374503j),4186.5848075726835,-2.8953509211114854,(917.4142294361952+2086.948246625084j),2279.6933680790316,1.1566279230565497,(-1817.3953011109656-935.9370551833276j),2044.2367406358435,-2.6660265419500084,(119.94877902458418+876.814831484095j),884.981332175979,1.434839669241933,(5460.163711082423-2456.6660507113425j),5987.369692656287,-0.4227918426467359,(-1094.4727146226576+2860.418356748731j),3062.6563141623647,1.9362366812553404,(-447.28836782401925+2187.1501038923593j),2232.4185228014558,1.7725221386648486,(-1828.827212180731+13.678308958738992j),1828.8783634098565,3.1341135140499348,(46.594225231591984+959.6699946755813j),960.8004582146922,1.5222820827996135,(1981.0539639625958+696.6468023914022j),2099.9741844637233,0.3381481177780161,(-396.6889135350698+1139.6505542973416j),1206.716818492173,1.9057591457243246,(-1445.0462719607517+2598.3859764803838j),2973.174803283114,2.0783354144507338
3,(-729.4195840906987+1863.5848222097725j),2001.2499392194063,1.9438728060357042,(759.9181766562384+39.77658661784243j),760.9584824781892,0.05229552417582939,(-1934.4070093848354+112.82793956371299j),1937.6946668408248,3.0833317748294577,(-643.1574254655598+172.2009315391396j),665.8112606095173,2.879985608025249,(-1070.29479699975+2219.914904958895j),2464.45798051892,2.020048647637208,(-1332.327397073166+4044.872841783502j),4258.649151924762,1.8889907334976463,(-639.7331537781349+1018.7558729842297j),1202.9638551439434,2.1315179823249712,(-169.08500972523984+1297.4769062137584j),1308.4479594816946,1.7003843471855624,(616.9754070261359+576.0500156341033j),844.092573943828,0.7511077376628669,(586.3805285000469+11429.422578540933j),11444.454666040896,1.5195367942052824,(905.3649857843797+4538.776324041599j),4628.193630042386,1.3739071981162096,(331.151326421721+325.21169012974764j),464.1377429038843,0.7763490944864081,(631.388170636342+524.6588735789655j),820.9250609188731,0.6933365086142856,(708.5359042063586+1478.606037118413j),1639.6032875523701,1.1239334095852624,(-951.2100552824467-2636.8764439790116j),2803.197807876182,-1.9170012301520158,(1473.4512833045637+1497.7447839704394j),2101.0231131956934,0.7935743183119048,(-170.69909983705705+379.8564619722768j),416.4482133318347,1.993132795064445,(-2510.958658479904+1007.1101396197837j),2705.3990866266254,2.7601504974631137,(1602.4311004971964+966.3377265462218j),1871.2546682873435,0.5426553094034774,(211.43855173186657+2606.1992658666304j),2614.762106686234,1.489844541254082,(-1299.6422590075538+1702.3146318853453j),2141.7154590022446,2.2228537784014453,(-15.32077875435483-173.55660090001325j),174.23151258485467,-1.6588434984484766,(3846.326810489739+7877.007733627031j),8765.927262344367,1.1165540982686921,(-968.159208485457+2766.3278931648583j),2930.8535046087018,1.907453255412798,(-2589.5771298642658+2000.4233128277951j),3272.24741454875,2.483852417697208,(-658.3727892485344+1917.0519697510947j),2026.9541150083905,1.901606019897809,(382.5500105340991+1775.7341694491188j),1816.4736031962566,1.3586072650972587,(749.340758241923+3937.728256693261j),4008.393118884814,1.3827470371829258,(1394.657373756554+3716.388705625136j),3969.460190186016,1.2117870348668802,(980.9469199967892-942.006912459588j),1360.0124569182567,-0.7651508306095443
4,(682.8289230186792+879.2052349968793j),1113.2192880815383,0.9104603653920904,(-720.3706985203339+72.45004680095732j),724.0048014814091,3.0413564255188827,(-1071.3011973493044-2201.6557591798833j),2448.46366878743,-2.0236575884618566,(380.55212390305735-878.2450089974305j),957.1490034660354,-1.1619083543465893,(-683.2648188290232-4094.881121542356j),4151.493973524885,-1.7361314325539337,(752.312309727163+1120.9753876654327j),1350.0220854188594,0.9797149456095047,(-103.6577921480825+125.90908433889201j),163.0890412997553,2.259569054304546,(-382.98717745337217-407.1874999780409j),558.9998553059453,-2.3255775127637746,(-220.1182895708364+115.80039565293065j),248.72031086536913,2.6572973710628527,(-1233.1262753452659+5372.3629795899j),5512.067161729341,1.7964196621376203,(3144.2595790540277+3341.6981188847562j),4588.389109287805,0.8158296890790043,(-459.3087144453554-176.35685556192612j),492.0022720162328,-2.7749885797071134,(-708.3115103497286-106.04321252374456j),716.205528194435,-2.992983718086515,(390.084972300397-758.8244982394816j),853.2179702414867,-1.0959602837559337,(979.0316895780594+1233.8171416729524j),1575.0580269577638,0.9000324854460624,(550.2774176755797-389.2057159068238j),674.0076599700093,-0.6156018454005393,(-107.46360132104627-235.5846566127906j),258.9373592980651,-1.998758643738263,(859.8322429294598-1412.090500143001j),1653.2728348869753,-1.0238530554409035,(1419.8715399636508-2372.736720155j),2765.1247228959955,-1.0315460942384684,(-50.59870902469827+408.74142365730034j),411.86136110147885,1.6939612253397884,(-129.94456884855103+1592.4675805653842j),1597.76049085118,1.6522154439719197,(-320.8903607121439+387.816581589595j),503.3610280442943,2.2620394465688354,(-4476.622599076298-1112.9379892351426j),4612.892895184473,-2.8979216337556655,(-373.2541184531501+1196.565545937794j),1253.4303900367381,1.8731690029876518,(-780.7934728744108-841.4454561914604j),1147.897601281812,-2.3188240725979554,(192.1472490935053+189.9674120273132j),270.20026455678493,0.7796935578375712,(407.62160936628675+1225.8913027533576j),1291.8842295611037,1.2497865937385417,(-169.1145905248226+1830.7462338959624j),1838.5405945076732,1.662909593195772,(475.8832736845937+394.55101627303867j),618.1710075819259,0.6922299687974178,(-727.9952224999134-895.0516697802038j),1153.730703222823,-2.2536279951035483
5,(565.4106208847082+1232.1513455843303j),1355.6865820072526,1.1405816984694892,(484.86155567755833+489.3997006486957j),688.9142146661621,0.7900561667002103,(1293.6172221280249+1078.7486733168114j),1684.3824439743512,0.6950731891188336,(3.514697975159436+796.9044158858162j),796.9121665278868,1.5663859168183702,(2095.05796682633-66.65392865133856j),2096.117990611963,-0.031804109803512844,(759.9814654687806+1435.4146395828886j),1624.1881096058269,1.0838665860430625,(18.03169495400705+239.69754078661273j),240.37481790334078,1.4957108851716303,(218.34317305118327+219.09823527270404j),309.3182469846746,0.7871242493538353,(821.2169499899527+541.0293432724118j),983.4175253840953,0.5825465226150606,(-296.53231973379184+3608.8377791085454j),3621.0000735387734,1.6527805190487426,(1442.1523044213209+2721.8407854567604j),3080.2955264915086,1.0835591729434928,(360.90763701132687+328.01875649599424j),487.699320346336,0.7376950562495903,(193.97949376773+453.51668510648256j),493.26000007334596,1.166621580000796,(466.42121131906885-626.7945199405541j),781.293873389429,-0.9310578865004567,(-618.6975042437067-1822.9423860154307j),1925.0728673193187,-1.897992411333645,(1077.8396650478282+1651.1133019994918j),1971.7792674612642,0.992458272938772,(302.4090192983354+20.14530533827029j),303.0792772199266,0.0665178070826148,(718.5370467482588+356.2708060915149j),802.0127024073915,0.46030446389226626,(-1701.9014002981583+263.4888482947144j),1722.177328126377,2.9879918635103313,(855.6836849895494+1598.136840119518j),1812.7978178783458,1.0792113385423359,(-259.4307396574066+292.92172522129323j),391.2894654674566,2.295635271483305,(466.3535876451263+406.9663723897375j),618.9566196152547,0.7175010224583106,(3421.548951449725-3983.4082333014094j),5251.1463872472805,-0.861129154813715,(495.78099641478826+932.646350354759j),1056.2329341750767,1.0822009920102615,(1059.8303932571278+794.6985690937743j),1324.6834633946519,0.6433958906914767,(-351.1744061217641-96.9906952132134j),364.32219047556816,-2.8721208800398865,(237.15221453174973+1062.3368403195425j),1088.485523632456,1.351161170408711,(-409.38809285346815+1582.3187364839134j),1634.4207519479946,1.823971333579306,(-5.552874766296513+1002.3479913645922j),1002.3633723409903,1.576336137328797,(-650.3953166585676+276.64193937457856j),706.784854501231,2.7394304188081215
6,(-756.2192222571093+1543.8393360316736j),1719.1007555084916,2.0262750941881964,(-185.4383821213072-204.55150918714762j),276.09547890993736,-2.307224383954968,(-2195.6165959458053-17.58479076532992j),2195.687013501448,-3.1335837804462057,(-632.2876506562759-62.69654869678451j),635.3884877702153,-3.0427574677914397,(-1849.1034133531705+272.9006306379797j),1869.133004223336,2.995065024547203,(-1255.4467099978897+2814.3385625751257j),3081.663185106697,1.9903934724765904,(-104.07920269454912+215.05037796088257j),238.91242222758424,2.021542683915212,(-422.14624940994855+972.8592550909798j),1060.501101417185,1.9802007042878098,(-159.57942069598562+227.6863812295646j),278.0407878479001,2.1821084977733474,(-234.40454216083722+5631.2802131295075j),5636.156698333497,1.6123977551313564,(-1268.2079744052137+4790.035735486802j),4955.0775789674135,1.8296174239287684,(35.262844950681206+318.44770221671916j),320.39414364361284,1.460512076541856,(-575.9041801013756+623.7090368555068j),848.9279046617926,2.3163653395841597,(-1745.2100776964107+684.3581307909401j),1874.5944271955952,2.76788469455846,(370.1253355386728+1046.088398490661j),1109.6367430219543,1.2307238627430235,(-254.24404239730097+3296.982785998293j),3306.7711629720593,1.6477581696179537,(-478.8328546714532+784.1962247581287j),918.8278520145732,2.1189759618575126,(-647.7336930563681+928.4608480282519j),1132.077066034721,2.1799382842149027,(481.2288822464015+733.0163216026051j),876.8661042849899,0.9898617532294672,(-540.2006458738782+1649.076165333184j),1735.3008202823378,1.887357935436209,(-170.0598837775783+1821.8495933769843j),1829.7694677085217,1.6638712587358049,(-309.6891752535952+466.35456771808265j),559.8160127227263,2.1569947637489246,(408.9980974064075+3573.0630433125607j),3596.3952723759494,1.456825294763289,(-149.7833055003082+1654.9626954272558j),1661.7269817459323,1.6610559641723706,(-7.618505255625801+1043.9698253071708j),1043.9976234523788,1.5780938270033187,(-325.39059204477286+30.632395745036256j),326.8292842759478,3.0477289023043537,(-454.1449343656266+836.2980113684071j),951.6522396488707,2.06828180312143,(-293.3483646444946+1305.1627566561317j),1337.72309705777,1.7918823098853862,(-572.6047683879883+1080.8333068635116j),1223.1422067798069,2.0579837859648538,(-719.6280403299793+603.3873479176175j),939.1170363997355,2.443829876984636
7,(-148.45671071724317+1025.7497721956472j),1036.4371616824656,1.7145282468385903,(144.7638261767098-167.37975930524613j),221.2974224757324,-0.8577254000987452,(149.88053358868495-848.6732048192542j),861.8064648904723,-1.3959930902617084,(43.36982539994515+239.6841301612023j),243.57632070124117,1.3917874676474773,(614.077283990918-1115.9994238867384j),1273.791829471831,-1.0677621597942326,(-578.1046662823674+659.7740970220495j),877.2154035803909,2.2903146590077106,(-69.13404701582122+232.9461909607728j),242.98856833176043,1.8592974718015112,(-469.50583573729983+422.94036007663266j),631.9131886368033,2.408324564791162,(-502.81429863568997+333.93341421833674j),603.6006494728249,2.5553491519865283,(-214.7062818308504+3864.860220746189j),3870.8194627706303,1.6262927233680375,(-497.3523785957633+1090.4433395797766j),1198.5099354318093,1.9987123105965625,(-59.860441961099426+395.63896491000764j),400.1418036981895,1.7209580836354688,(-166.30828519958825+122.05590917307471j),206.2912763305648,2.5084665941752697,(-485.98768051282207-142.52527719326014j),506.45580285869806,-2.8563221750135015,(-528.9177661376731-1188.535550553267j),1300.9115105436742,-1.9894981351525887,(367.26707404678433+20.281103983153287j),367.82662608579824,0.05516564853757025,(-276.0130251773381+550.142112378343j),615.4994182610177,2.0358127802075887,(-1214.8195524664334-36.68716799330189j),1215.3733966769694,-3.111402144338981,(-135.55876346598757-786.9569138182618j),798.5470321520146,-1.7413791766540772,(-448.27495101604393+1112.97618705858j),1199.8610022281298,1.9536895361839488,(471.969291747939+410.5069483448692j),625.5165601264832,0.7158628619141494,(44.444323180542995+491.55201497977765j),493.557171251372,1.480625195298647,(-2092.4347215486305-1701.891358277619j),2697.168378007264,-2.458761556868662,(-350.60647689474405+1000.8463198181822j),1060.4802013871563,1.9077472910610789,(-444.8066119167227+577.5831043563711j),729.009714916596,2.227048539758299,(-883.1861853630952-201.2720952570547j),905.8301685997108,-2.9175261670446404,(116.51983694773907+856.2270885386732j),864.1190308920065,1.4355419736347097,(-1486.3402462873053+988.7760142850559j),1785.184957969019,2.554576980181366,(-943.7642173496182+1368.9942558488092j),1662.7796518169725,2.174362602418511,(137.16419422935562+951.584162786467j),961.4189695676956,1.4276393614656557
8,(-200.20217637853304+943.2340035815558j),964.2464917951175,1.779943279019723,(-7.281342692769917+203.9705039473147j),204.10042731932504,1.606479192333623,(-416.5009198262664+1088.928430220033j),1165.863689441262,1.9361146923666166,(60.55913498718091+341.72053185266316j),347.0451421934365,1.395399081585246,(537.5370943929054+595.2616018274796j),802.0489401891782,0.8363115531262847,(71.8996964737922+1419.4636604815994j),1421.2834515960724,1.5201868592974834,(-92.59724869845401+255.88790280699098j),272.12656847408965,1.918003240080335,(-1.1640536185797323+180.96018681054247j),180.96393074680202,1.577228888474383,(150.17833116017923+100.41653885330592j),180.65716820910805,0.5893734930947696,(-365.9709305602581+2261.1137800574747j),2290.5392920404015,1.7312590541637067,(-367.4679072264032+2215.539318944607j),2245.806567055784,1.735159402419228,(94.48296915069648+191.7384534711128j),213.75375084200405,1.11294938059464,(39.2564618434546+566.9078489385381j),568.2654124479045,1.5016600542093952,(191.72903088011958-46.936297399454j),197.3905704328346,-0.24008366083794005,(-93.50187081115646+578.5622068518068j),586.0689609955632,1.7310217349139698,(641.0012635563909+1532.3857994005757j),1661.0505284564438,1.174611919446398,(409.19000353706076+471.9117801287879j),624.6096278628606,0.8564639056588619,(499.5229612577466+566.356207447348j),755.1705387115229,0.848018643299352,(-594.5974378141859+724.0818806624834j),936.9315252241828,2.2583157421479423,(266.2172239786088+959.176349209392j),995.4350200919869,1.3000630524273957,(-388.62977835301183+611.46546563069j),724.5157833212936,2.136961242106629,(-74.56040922200016+629.7296614321093j),634.1283001970115,1.6886483219763697,(275.2920911893759-1146.4937649286285j),1179.0817140858564,-1.335141176531941,(-250.93771004116306+899.2939950632255j),933.6484476918919,1.8429132733936568,(239.93263420108818+767.1562096268699j),803.8011687748028,1.2676783382523211,(341.6708999792352+293.86049351570585j),450.6584000569774,0.7103105766197024,(-199.133994198744+667.80473515073j),696.8626205610989,1.8605935327270728,(2.082098065715691+423.8076417990112j),423.8127562728548,1.5658835288425839,(-164.80520698698362+611.9203274507057j),633.7248956742992,1.833878560091457,(351.3287297076011+544.7633514160514j),648.2275722028529,0.9980006433313546
9,(-673.5559591766629+587.6002087352106j),893.8409452738543,2.4242455580227587,(388.7536551177662+84.5952787849694j),397.8514365440067,0.2142660522822453,(-856.192239777611-1023.873470950422j),1334.6842457942878,-2.2672408311145675,(-586.9543941369644+90.49165820359677j),593.8890477194605,2.9886254857127823,(-1108.9211926140854-245.20823233844828j),1135.7082762026487,-2.923971229145175,(-676.1738395015456+1151.036749206151j),1334.95193143773,2.1019350316695866,(84.75379410436456+128.99819470682425j),154.34940833286262,0.9895051993319199,(231.61234521959702+346.26438272636364j),416.5852868297096,0.9812569449684178,(173.5340014499428+121.13674317195081j),211.63213415154118,0.6094212068508132,(29.336526305460538+2406.566335770155j),2406.745138197616,1.5586067300015853,(-737.2152911082327+1345.2922311831517j),1534.0461442621402,2.072099958953815,(-56.60173884410762+323.48297583532485j),328.3976134131518,1.7440186513137368,(-499.3185146169851+312.7106493628113j),589.1578135476296,2.582077086443832,(-1140.0154740371154-196.40212639040996j),1156.8098704172364,-2.9709871538016057,(-322.150568194114-655.7261604661526j),730.5872884929445,-2.0274502913284094,(-1056.3725357812098+1276.4417993966244j),1656.8725363164529,2.2621364678928724,(-257.82031477720636+528.4844561598744j),588.0196723872562,2.0246755122264566,(-42.72300616984168+411.61723541973953j),413.8284714114987,1.6742190417430316,(156.8988283602646-466.2180812097748j),491.91111147009883,-1.2461668018387715,(195.189444342191+919.0785024210979j),939.576613584662,1.3615303827759435,(981.4440328564565+699.5677364316581j),1205.249935692037,0.6192612473265072,(186.04075750607214+10.24965482826239j),186.3228887644555,0.0550379580043505,(314.6465541937553+684.5275254000979j),753.3793115664815,1.1399423050753477,(-53.54790352169145+808.928306632353j),810.698700654352,1.636895996927938,(609.5095508662769+1113.7111443899887j),1269.5882819779288,1.0700453841465258,(66.79770445108124+291.1893098582006j),298.752652700573,1.34530153267265,(-208.02604952931242+359.6791449209325j),415.5044218462965,2.0951562762694524,(-349.0242616708941+1275.739056137692j),1322.6216672162911,1.8378474174361596,(-632.5547480732553+110.57611458811417j),642.1468573678635,2.9685325451833044,(-5.364871969046577+366.91284733737865j),366.9520668867622,1.585416936930274
