,Air_Products_Chemicals_final_fft,Air_Products_Chemicals_fft_absolute,Air_Products_Chemicals_fft_angle,Albemarle_Corp_final_fft,Albemarle_Corp_fft_absolute,Albemarle_Corp_fft_angle,Avery_Dennison_final_fft,Avery_Dennison_fft_absolute,Avery_Dennison_fft_angle,Ball_final_fft,Ball_fft_absolute,Ball_fft_angle,Celanese_final_fft,Celanese_fft_absolute,Celanese_fft_angle,CF_Industries_Holdings_final_fft,CF_Industries_Holdings_fft_absolute,CF_Industries_Holdings_fft_angle,Eastman_Chemical_final_fft,Eastman_Chemical_fft_absolute,Eastman_Chemical_fft_angle,Ecolab_final_fft,Ecolab_fft_absolute,Ecolab_fft_angle,FMC_Corporation_final_fft,FMC_Corporation_fft_absolute,FMC_Corporation_fft_angle,Freeport_McMoRan_final_fft,Freeport_McMoRan_fft_absolute,Freeport_McMoRan_fft_angle,International_Paper_final_fft,International_Paper_fft_absolute,International_Paper_fft_angle,Martin_Marietta_Materials_final_fft,Martin_Marietta_Materials_fft_absolute,Martin_Marietta_Materials_fft_angle,The_Mosaic_Company_final_fft,The_Mosaic_Company_fft_absolute,The_Mosaic_Company_fft_angle,Newmont_Mining_Corporation_final_fft,Newmont_Mining_Corporation_fft_absolute,Newmont_Mining_Corporation_fft_angle,Nucor_final_fft,Nucor_fft_absolute,Nucor_fft_angle,Packaging_Corporation_of_America_final_fft,Packaging_Corporation_of_America_fft_absolute,Packaging_Corporation_of_America_fft_angle,Sealed_Air_final_fft,Sealed_Air_fft_absolute,Sealed_Air_fft_angle,Sherwin_Williams_final_fft,Sherwin_Williams_fft_absolute,Sherwin_Williams_fft_angle,Vulcan_Materials_final_fft,Vulcan_Materials_fft_absolute,Vulcan_Materials_fft_angle
0,(144464.46000000008+0j),144464.46000000008,0.0,(84282.90000000002+0j),84282.90000000002,0.0,(71281.57+0j),71281.57,0.0,(81117.04499999993+0j),81117.04499999993,0.0,(63410.62+0j),63410.62,0.0,(211711.38000000006+0j),211711.38000000006,0.0,(109470.15000000005+0j),109470.15000000005,0.0,(92894.05999999997+0j),92894.05999999997,0.0,(116234.29000000002+0j),116234.29000000002,0.0,(107397.39749999999+0j),107397.39749999999,0.0,(51902.25285999999+0j),51902.25285999999,0.0,(168030.95+0j),168030.95,0.0,(103387.5201+0j),103387.5201,0.0,(84070.52030000006+0j),84070.52030000006,0.0,(83232.08000000003+0j),83232.08000000003,0.0,(47792.47999999999+0j),47792.47999999999,0.0,(42250.88+0j),42250.88,0.0,(153383.97000000006+0j),153383.97000000006,0.0,(100651.34000000007+0j),100651.34000000007,0.0
1,(5651.726994800002+3870.854931240909j),6850.22159659548,0.6005181329849368,(8209.639540056776+12834.356446525717j),15235.448361441151,1.0017235414462284,(8754.831867618519-5550.331892946848j),10365.966677166762,-0.5650262008277556,(-2079.3973836670907-1534.7708349311513j),2584.456421562725,-2.5057612259038677,(4614.739599070377+7001.356031354838j),8385.392527784074,0.9880359732586541,(16397.504704058127+44908.11105665173j),47808.1227323995,1.2207027096596132,(1326.877329202358+6601.08968462188j),6733.126203419373,1.372430924377679,(9292.64159891549+10041.979109778189j),13681.905288632728,0.82413503234143,(3047.1744414609575+8938.09029778158j),9443.237275849322,1.2422333131475773,(-6545.113384542888-15130.642202773544j),16485.59500548507,-1.9790641865821827,(8747.469888234382+4060.521421085787j),9643.96514182127,0.4345946103396602,(14045.602430060566-12709.438381829083j),18942.248324970125,-0.7354989728541007,(-4407.473091216758-4065.1287755987846j),5995.9228657481135,-2.3965785651200506,(-5285.096880972341+5654.878761118777j),7740.148761116662,2.3224063756046363,(5591.477826587818-6852.389840610371j),8844.199840173414,-0.886381477134132,(6678.940606894802+4946.869195397481j),8311.423612522758,0.6375010167069844,(5520.752274012359-1681.371508101328j),5771.110449408117,-0.295630237897094,(25227.87867627803+29293.629839729856j),38659.57335113924,0.8598319033051669,(15315.156074589977-15281.905814947855j),21635.402721603943,-0.7843114496903207
2,(-1040.6702832649573-5850.967657022565j),5942.795399641055,-1.7468184998541176,(3078.39532972152-3042.8852364732834j),4328.471828301339,-0.7795971394881156,(5096.0504766705-8255.614439324137j),9701.798814217434,-1.0177655684600595,(5066.113913727041-2836.7763309704515j),5806.273343446112,-0.5104511361090635,(-1929.613464023768-3759.7021421154614j),4225.963596384781,-2.044976364498173,(-19487.50857864287+19344.999990826804j),27458.91504134438,2.359864300702148,(5077.29449149975-12041.487139364199j),13068.14186795074,-1.1717664763136926,(3187.5397965483307+4830.522126290526j),5787.430687892661,0.9875105394111139,(-1656.542478877116-10008.083036665146j),10144.252513276126,-1.7348295664093447,(2372.3399822949104-19335.90924780152j),19480.897911308177,-1.4487155564399532,(3232.5400937965796-1647.4062214139399j),3628.121100012478,-0.47132356959418487,(4767.028894790553-9852.411970078809j),10945.071315981464,-1.120156977760875,(-13515.404769127364-6361.625496460586j),14937.752341988004,-2.701663148051349,(-2378.797687020975-5007.7054670718035j),5543.987056326626,-2.014267080672826,(677.1469470022734-4895.720924157929j),4942.3285357281,-1.4333543156403499,(3161.362872979961+928.5999568574467j),3294.922319954109,0.285698359849608,(5865.816467620546-4953.044422704508j),7677.268517193639,-0.7012289024150772,(9286.636058634718+18811.877727732815j),20979.23623320698,1.1122350866154018,(5497.104025274042-9861.560388675272j),11290.196010883657,-1.0622685829440865
3,(-3546.302604064698+3237.653510420763j),4801.943607867125,2.4016600545042355,(1406.6496661951119+1904.7347755079654j),2367.842445864209,0.9346949046979585,(-189.8365496769164-448.8154862466509j),487.31227799846585,-1.9709483001608588,(-3716.305378514499+1989.6916177973194j),4215.423869589949,2.6500315351159114,(-2153.4720108864294+2350.4502261729212j),3187.7982946522166,2.3124875254917385,(-11029.177917351934+23595.0884606656j),26045.555570946042,2.0080545007766992,(973.8215631771335+7701.540210437923j),7762.863521272351,1.4450187771855696,(-443.9638589566825+5290.446950162581j),5309.042554034038,1.6545181897448027,(1769.6034158369948-4202.482296753696j),4559.863342674885,-1.1722461532964352,(-14108.7559155421+2621.8431725751448j),14350.29808421843,2.957857578541167,(-1769.2597693068112+1124.3002237246426j),2096.265995610975,2.5755042946948414,(-3986.0282415605093-2413.6668128261986j),4659.850708537404,-2.5971155860722708,(-7986.406567870835+14343.40595103482j),16416.941985141795,2.0788451728882706,(-3034.4475807725894-1144.7976789088193j),3243.213506091087,-2.780835744818814,(-1688.6078001592923-133.08409825960794j),1693.8440542058108,-3.062942317418144,(-196.95129770120084+3602.2626556612745j),3607.6427281589295,1.6254162754388175,(3581.953791815923-1699.4351560628045j),3964.6529250826834,-0.4429942897824021,(-1898.7879298931+14452.725243291903j),14576.922259544184,1.7014274003879517,(-1312.6982972496692-6015.498157948783j),6157.0605736737225,-1.7856475849057412
4,(693.3608702201143+7837.242588043218j),7867.853626001869,1.482556063016588,(1978.1739509010295+1483.2100754067765j),2472.465228837721,0.6433650865704799,(367.736944892074-407.8345243931062j),549.1442979085801,-0.8370528617070441,(-1224.9776776682297-1488.7268992017462j),1927.920665170716,-2.259307222877524,(594.2112394093554+5905.775337545478j),5935.593427333177,1.470518523334639,(-472.4259405391658+20944.518559101773j),20949.84591690003,1.5933485685176196,(-3215.635428080347+7215.580588497281j),7899.678122267023,1.9900282872748702,(1737.124722851579+4745.646037756159j),5053.588687102751,1.2198987581475458,(3623.8481793760334-1468.5464427667675j),3910.1028479734287,-0.3850197558776744,(-965.0724748145541+3964.0393477715115j),4079.8250982518207,1.8096072998194221,(446.8318507175493+3000.5776043838696j),3033.6652192926153,1.4229673995894006,(-3976.4071115736897-291.45824895009264j),3987.0742942482107,-3.068426609424863,(2055.562912915999+12328.934855514883j),12499.118911366731,1.4055892162570818,(424.0347961232477+150.3503677156932j),449.90081284159555,0.34074100673570895,(1094.280949162332+1559.8772358659705j),1905.431128819007,0.9590527306076615,(464.3426918205407+3592.440240412164j),3622.325360370014,1.442253510506189,(2634.8992286706966-1583.968328627635j),3074.353527385043,-0.5412642852006074,(-2183.7148360085985+6893.205874348163j),7230.829669626583,1.8775868639440534,(-1087.06323672208-5269.572258502843j),5380.529552768523,-1.7742331610991993
5,(4733.508385372443-468.1365068255077j),4756.601036813369,-0.09857786203722135,(3306.6539964819754-2363.0266885055253j),4064.2165029731877,-0.620475929045029,(753.475284101597-3486.6599031634546j),3567.1448364314806,-1.357966791956186,(1764.254918898568+390.39628322287365j),1806.9323940900574,0.21777194083819038,(1286.6172378323092-696.6348049238127j),1463.1076406466066,-0.49625275810416336,(7070.900482586916-604.6178793560757j),7096.703207453791,-0.08530041354154126,(2173.7083588258533-6334.272235439329j),6696.8658924818665,-1.2402224176926013,(1905.0162147009696+2732.781965055968j),3331.243618651865,0.962020824451985,(1224.6785080544767-1216.757061841924j),1726.3647342415015,-0.7821535893799466,(7294.334942739303-3699.8922757274468j),8179.029594570203,-0.46941342258636526,(52.91446565639217-562.3425896817052j),564.8266360978633,-1.476976082344425,(-3102.5264351477836-1157.5293494030811j),3311.4263506109164,-2.7844953584116503,(7313.675038640981-4924.134441573646j),8816.855594231538,-0.5925655309519152,(356.3563982932883+118.35758958552378j),375.49753876298576,0.3206695369785629,(2633.9779209425715-2799.7978268517263j),3844.048329464212,-0.815905212023238,(571.432103188281+1274.169229724637j),1396.4389977837402,1.1492119309833124,(2729.7362477822808-3231.0296749347463j),4229.7769140659675,-0.8692995622200146,(-88.28694268174695+5715.17406201755j),5715.855941449738,1.586242911613846,(-3178.739104272475-5461.474830930955j),6319.184252886071,-2.0978973655327504
6,(-2696.1371046119248+2515.385382052162j),3687.3186609115946,2.3908636869286073,(415.3702928542704+530.1074660538263j),673.458540484751,0.9061613051206617,(-1618.8344111712033+519.8588612219831j),1700.2582410866396,2.830863571898255,(-3087.084128959431+241.34628592601467j),3096.503907474281,3.0635719818862013,(-2402.6307591510827+1607.0462019768543j),2890.5418281192783,2.552066628560506,(-4773.495271480964+4333.506072806052j),6447.13362587577,2.4044702423948223,(-555.249990886777+2771.4580021369516j),2826.531798863885,1.7685243715585979,(-248.83039026811178+2954.1876109901627j),2964.6485464636016,1.6548276954123922,(-5868.295531431572+2090.6066613164426j),6229.568898130949,2.799356803409283,(-6880.855954577044-1627.520409922873j),7070.714345266246,-2.909332423176386,(-1622.7730126436238+1884.620262646206j),2487.0033745335204,2.281676926208788,(-5322.917760173287+2367.4897809374174j),5825.672608756117,2.7230940468338387,(-4751.052145567908-1912.5707542569328j),5121.564544154878,-2.7588836479086094,(-418.2088180596535-3814.916164372446j),3837.7707014219895,-1.679984967801534,(-1911.5077760598685-2093.6478511750656j),2834.999700646777,-2.310749397383837,(-351.201932352801+2458.8970375445037j),2483.8513318098326,1.7126658520573883,(217.8892111156266-1918.874663330269j),1931.205758559,-1.4577300976994287,(-245.8311869270758+8061.200243667816j),8064.947758105816,1.601282484662283,(-3573.7272990114916-647.015531877076j),3631.8254234186625,-2.9624849663419965
7,(58.97119042076065+2597.3976168204854j),2598.0669701076567,1.5480962748058136,(-1314.9160381144438-759.6775241904382j),1518.5895192746127,-2.6177028081688754,(-643.4441904502576-640.7949859351295j),908.0961624320357,-2.3582573464001713,(193.72785017592707+66.32813636758866j),204.7679213348221,0.329868467266392,(-1835.5251125820178+1853.1744430695799j),2608.3343258419686,2.3514098240684533,(-868.7746108132919+7979.041913087785j),8026.199547432481,1.6792511563538595,(-2507.139519608524+3340.6579694535376j),4176.810294908819,2.214612708234898,(439.9892098159572+2554.1634529570574j),2591.783449514251,1.4002070453039928,(-3921.4363327777073+1000.3087453377636j),4047.008833450736,2.891831671056572,(1606.1553293078696+66.53279506574063j),1607.5327538446397,0.041399968017168345,(-309.09342577643486+763.3208936050964j),823.5274934525838,1.955547600057518,(-3764.7017871736543+862.8037844730372j),3862.3062950586273,2.9163008268045005,(-4754.359474629722+2283.5139367022357j),5274.312269207688,2.6938297245087517,(1109.9696191544722-1612.5649111461157j),1957.6511814175692,-0.9679486153108238,(-3358.6803783145892-810.1366082598477j),3455.004371591764,-2.904906894200021,(172.8562186223429+1685.3649500585284j),1694.2060934851465,1.4685906215346223,(-142.81439069447333-2287.2573162181016j),2291.7115832457334,-1.6331545181224307,(-1519.8706641903257+5669.231612861117j),5869.428755520439,1.8327281320216122,(-2262.02512446161-2149.8977141073347j),3120.7079076420314,-2.3816036559094376
8,(2307.903294620126+1191.836286054206j),2597.477882499467,0.4766933455662074,(1579.04772013349-3119.1027479884233j),3496.025408226849,-1.1021607293254694,(427.28056972825857-1341.9455153946183j),1408.3275370293065,-1.262541971880655,(252.62820204897224+1803.1669854762088j),1820.7779068249522,1.43159985739884,(1649.7350453698878+916.3613060304656j),1887.1522893268168,0.5070252406288956,(4506.131544160552+10018.50095377656j),10985.243868667669,1.1481245223318828,(1191.047236393233-1008.7197187357378j),1560.803956391149,-0.7027022645160416,(73.27601528449122+783.3075566593759j),786.7274640786695,1.4775208525755357,(3620.896051219119-70.83147615165694j),3621.5887828062464,-0.01955936936017659,(3307.2296943575902+3816.4431038330863j),5050.0501201508605,0.8567586499397275,(486.1303490304876-375.7195352008114j),614.400427555204,-0.6579830807394202,(1147.6309747018329-48.18588456550343j),1148.6421259759015,-0.041962616400162106,(2272.7627833941237+4474.328646874748j),5018.472627187023,1.1008040694262498,(665.4418642717781+435.95539165595864j),795.5312553504103,0.5799777909228963,(1448.9154398342398+847.8164888711356j),1678.7342703929735,0.5294203952362695,(951.689611016086+795.7003918957366j),1240.5048284383975,0.6963643334160561,(714.4382514243904-2516.256562079617j),2615.715791386189,-1.2941479767491708,(252.0227240509431+2906.423899905899j),2917.33017318614,1.484300374328292,(197.70198070185035-2226.790459234826j),2235.54955715875,-1.4822451289316303
9,(1460.2662553184216-96.9344715335955j),1463.480040244206,-0.06628412202718285,(953.1362404099614-2097.816160213693j),2304.192121945685,-1.144333412816245,(359.6451066015353-545.3981057937623j),653.3021479421704,-0.9878291167656046,(781.5561035897189-1290.2751261086123j),1508.5224042462673,-1.0261755148395255,(909.2723635795853+8.11528656718358j),909.3085774618389,0.008924796820864994,(1752.6327873134119-143.63038817266914j),1758.5082813488855,-0.08176849027268546,(2468.28117449018-310.4211157938716j),2487.724507551697,-0.1251072504611208,(12.834697449952728+1649.741934843862j),1649.7918599147595,1.563016662445212,(3997.4120778468337-175.84692354232126j),4001.2779784257727,-0.04396184890250386,(1988.2473998567693-6099.234635356419j),6415.12204561757,-1.2556755066062593,(-454.24687953332995+762.850140172793j),887.8516564873985,2.1078710352470007,(-370.80018208188574+2226.5702169668184j),2257.2345261659507,1.7358161552708673,(572.0879671455814-3126.7942269156893j),3178.6989130186657,-1.3898347692155997,(-84.41281197465997-915.7085911391515j),919.5910758111559,-1.6627195862354216,(949.5711972189545+436.9236127251509j),1045.2692007060364,0.4312437873204095,(-385.83767829509844+895.2216397476694j),974.8294713767418,1.9777353484673044,(-168.39919352665552-1696.3332254571671j),1704.6714346672043,-1.6697446032929375,(-1524.994674488967+3912.6062360147985j),4199.297121581372,1.942447899840695,(-842.607094449276+1132.0827408904918j),1411.239897337933,2.210638255806952
