,AES_predictions,Alliant_Energy_Corp_predictions,Ameren_Corp_predictions,American_Electric_Power_predictions,American_Water_Works_Company_predictions,CMS_Energy_predictions,Consolidated_Edison_predictions,DTE_Energy_predictions,Duke_Energy_predictions,Dominion_Energy_predictions,Edison_Int_predictions,Entergy_predictions,Evergy_predictions,Eversource_Energy_predictions,Exelon_predictions,FirstEnergy_predictions,NextEra_Energy_predictions,NiSource_predictions,NRG_Energy_predictions,Pinnacle_West_Capital_predictions,PPL_Corp_predictions,Public_Serv_Enterprise_predictions,Southern_predictions,Sempra_Energy_predictions,Wec_Energy_Group_predictions,Xcel_Energy_predictions
0,[11.69245828],[36.85182283],[47.66603584],[62.20258754],[71.23874115],[40.59326942],[72.17863443],[92.31380056],[76.9713519],[72.20726573],[70.17484121],[73.82300716],[22.34636986],[52.77027839],[32.49791724],[31.64525869],[122.77342993],[22.88688106],[11.41695149],[73.77972523],[32.53447522],[40.85196389],[49.75420978],[104.22221556],[57.28306703],[39.85376617]
1,[11.5356754],[36.35410622],[46.93051288],[61.41139383],[70.5835013],[40.14793395],[71.66819606],[91.65891852],[75.91437776],[71.71808574],[69.44916793],[73.30515189],[21.84378149],[51.9905358],[32.18326692],[31.25760009],[121.19579879],[22.36309386],[11.12625339],[72.9218419],[32.21255359],[40.63028171],[49.38582689],[102.81415636],[56.62458507],[39.48964922]
2,[11.66198241],[36.90351518],[47.57326969],[61.99205811],[71.22849899],[40.4057979],[72.1111237],[91.83679011],[76.6676152],[72.17509201],[70.10920882],[74.05092924],[21.10737404],[52.61447068],[32.47071015],[31.33852165],[122.82890199],[22.66992956],[11.07659996],[73.65925496],[32.51324706],[40.80697796],[50.04870948],[103.50278581],[57.41581815],[39.71964684]
3,[11.72919122],[37.18633713],[48.06503278],[62.52500227],[71.7960756],[40.8714101],[72.95736012],[92.71296261],[77.8383724],[73.20903677],[70.99197266],[74.84689955],[21.81132773],[53.31748605],[32.88878991],[31.53130352],[124.61565536],[22.89150902],[11.24523302],[74.29430038],[33.01003159],[40.97596376],[50.72316238],[104.55114533],[58.16522435],[40.32426558]
4,[11.57428523],[36.98941725],[48.04068392],[62.34400995],[71.79477829],[40.74082342],[72.51923271],[92.04764291],[77.29816445],[72.83270531],[70.86469385],[74.19977016],[21.55729523],[53.16621146],[32.71782724],[31.548771],[124.13686134],[22.66223661],[11.08147947],[73.75892245],[32.92410387],[40.93167882],[50.55448415],[104.12187618],[57.79729418],[40.09274593]
5,[11.69814616],[37.19096777],[48.14494015],[62.92944473],[71.65532409],[41.02390932],[72.99199695],[92.41245872],[77.48894063],[72.8814164],[71.19054418],[74.64512713],[21.28516192],[53.72152479],[32.72820997],[32.11549557],[124.03959167],[22.89485403],[10.93596049],[74.23669434],[33.05672308],[41.51925991],[50.66831207],[104.39483101],[57.98105388],[40.30373342]
6,[11.84803505],[37.34547529],[48.94678872],[63.3739153],[72.47439538],[41.45082234],[73.24737735],[92.84683409],[77.89991761],[73.29731468],[72.11271765],[74.96709937],[21.84433818],[54.13004057],[33.10532608],[33.08658353],[125.09161175],[23.05599243],[11.68515237],[75.13632431],[33.40171597],[41.82613003],[51.10787204],[105.06581766],[58.37738869],[40.55104787]
7,[12.09732002],[37.28831108],[48.73935746],[63.22494653],[71.79394698],[41.39914157],[73.52014001],[92.837303],[78.23562129],[73.22580917],[72.08410617],[74.91411438],[22.00889375],[53.96708663],[32.914948],[33.16505097],[124.66221367],[22.82579714],[12.13467659],[75.0426165],[33.35889708],[41.47351261],[50.75417822],[104.72473208],[58.26746707],[40.37387807]
8,[12.0640596],[37.30367609],[48.62118363],[62.93016852],[71.72495106],[41.35642951],[73.60246221],[93.10509013],[78.37509745],[73.15661278],[71.79003724],[74.52956656],[22.2690506],[54.11810217],[32.81985245],[32.84558447],[124.20792731],[22.77555704],[11.60597248],[74.7707557],[33.57622696],[41.27306972],[50.7352365],[105.32215188],[58.04960511],[40.38527378]
9,[12.00540401],[37.04703906],[48.50394486],[62.52975357],[71.69284851],[41.19195488],[73.19810184],[92.79763071],[78.06021239],[72.85615417],[71.01027567],[74.22758774],[21.71998455],[54.01968851],[32.52694287],[33.18658548],[123.75037858],[22.59934014],[11.42967917],[74.09566059],[33.32731887],[40.98774764],[50.54538031],[104.88431217],[57.74636821],[40.01030232]
10,[12.03288593],[37.29647373],[48.69522784],[63.04023468],[72.16349782],[41.40357244],[73.20422145],[93.20819444],[78.43169977],[73.11060848],[71.38050344],[74.10443821],[21.56418239],[54.15540974],[32.63930214],[33.39580249],[124.45671669],[22.51228922],[11.04579281],[74.79704934],[33.51739897],[40.88500305],[50.90054772],[105.25142838],[57.84235627],[40.21604477]
11,[12.00528516],[37.36135445],[49.03532991],[63.46960736],[72.61135222],[41.63314153],[73.68856166],[93.98292879],[78.59199552],[73.38373311],[71.62282156],[72.54928045],[21.55833051],[54.31283255],[32.92108944],[33.59470574],[125.55197971],[22.80373246],[10.90265369],[75.21932168],[33.70884928],[41.1580237],[50.95744518],[106.37018269],[58.13526345],[40.47870003]
12,[12.00092496],[37.47558177],[49.10917217],[63.54610095],[72.53785836],[41.67246083],[73.92886654],[93.92850318],[78.81094151],[73.82558341],[71.74713995],[72.30991564],[20.45059365],[54.32230583],[33.2627032],[33.90451551],[126.2309515],[22.6945703],[10.52509406],[75.21800457],[33.84024462],[41.2477637],[50.97672167],[105.42733989],[58.82442666],[40.61357311]
13,[11.8308401],[37.0070463],[48.74943536],[63.20988564],[72.30574663],[41.3753237],[73.46060176],[93.71984401],[78.41195182],[73.3513593],[71.39434953],[71.89705735],[19.48976023],[53.91647139],[33.28236736],[33.92698284],[125.15938076],[22.46098294],[10.44370995],[74.88558825],[33.69102705],[41.2234376],[50.75579474],[104.59000448],[58.29436166],[40.43878933]
14,[11.6529327],[37.20459319],[48.89201553],[63.42426668],[72.59479813],[41.31926114],[74.01022822],[93.99380661],[78.75348397],[73.50378277],[71.94288866],[72.32460403],[19.31131738],[54.23010119],[33.22655402],[33.95571949],[125.7583502],[22.5178922],[10.3061386],[74.63487854],[33.80316007],[41.04664583],[50.73500061],[105.10544873],[58.54128881],[40.68658487]
15,[11.75635254],[38.00220563],[49.9741591],[64.80381917],[74.05533999],[42.1664933],[75.6112509],[96.03388772],[79.99134459],[75.06193387],[73.46718242],[73.5849227],[19.83275764],[55.08667632],[34.05872128],[34.27606362],[127.97697371],[23.25284209],[10.62534725],[76.16602428],[34.33768562],[42.00993763],[51.59774749],[107.13576446],[59.73086581],[41.52478153]
16,[11.66099825],[37.43565181],[49.20381337],[63.48067129],[73.15006563],[41.5867065],[74.05263036],[94.28942348],[78.63960089],[74.51192626],[72.50121907],[71.9767346],[20.01255341],[54.06573083],[33.34966252],[33.57537103],[125.99557995],[22.32238304],[10.64978633],[74.83481458],[34.01566809],[41.45665543],[50.46054057],[104.89407131],[58.63588582],[40.91937149]
17,[11.47737703],[36.99255303],[48.6424965],[62.66483806],[72.4239681],[40.87022251],[73.83190622],[93.32817089],[78.0576925],[74.21788633],[70.82786611],[71.48174255],[21.59283915],[53.45451367],[32.64358474],[33.35320419],[123.83630671],[22.06669161],[9.83859968],[74.57063445],[33.90707222],[40.83868061],[50.2431167],[99.47819698],[57.99037651],[40.48590138]
18,[11.7292254],[37.02312645],[49.11114895],[62.93804124],[72.2265707],[41.16883482],[73.8693604],[93.35373435],[77.96304694],[74.29266435],[71.23166117],[71.45486463],[20.7034341],[53.44488602],[32.79482198],[33.30569946],[123.89287994],[22.1344305],[10.06203631],[74.18059806],[34.09993432],[40.92652484],[50.41374115],[101.11747589],[58.26939904],[40.64735409]
